ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Negro,
Calloatti.AutoTweaks.ColorName.000080,Marino,
Calloatti.AutoTweaks.ColorName.00008B,Azul oscuro,
Calloatti.AutoTweaks.ColorName.0000CD,Azul medio,
Calloatti.AutoTweaks.ColorName.0000FF,Azul,
Calloatti.AutoTweaks.ColorName.000133,Azul muy oscuro,
Calloatti.AutoTweaks.ColorName.00022E,Azul marino oscuro,
Calloatti.AutoTweaks.ColorName.00035B,Azul oscuro,
Calloatti.AutoTweaks.ColorName.000435,Azul marino oscuro,
Calloatti.AutoTweaks.ColorName.001146,Azul marino,
Calloatti.AutoTweaks.ColorName.002D04,Verde bosque oscuro,
Calloatti.AutoTweaks.ColorName.004577,Azul de Prusia,
Calloatti.AutoTweaks.ColorName.00468C,Azul medianoche,
Calloatti.AutoTweaks.ColorName.0048BA,Cero absoluto,
Calloatti.AutoTweaks.ColorName.005249,Verde azulado oscuro,
Calloatti.AutoTweaks.ColorName.00555A,Verde azulado profundo,
Calloatti.AutoTweaks.ColorName.005F6A,Petróleo,
Calloatti.AutoTweaks.ColorName.006400,Verde oscuro,
Calloatti.AutoTweaks.ColorName.0066CC,Azul marino,
Calloatti.AutoTweaks.ColorName.0066FF,Azul (III),
Calloatti.AutoTweaks.ColorName.00755E,Bosque tropical,
Calloatti.AutoTweaks.ColorName.007DFF,Azul eléctrico,
Calloatti.AutoTweaks.ColorName.008000,Verde,
Calloatti.AutoTweaks.ColorName.008080,Verde azulado,
Calloatti.AutoTweaks.ColorName.0081AB,Azul acero,
Calloatti.AutoTweaks.ColorName.008B8B,Cian oscuro,
Calloatti.AutoTweaks.ColorName.009337,Verde Kelley,
Calloatti.AutoTweaks.ColorName.0095B7,Azul verdoso,
Calloatti.AutoTweaks.ColorName.009DC4,Azul pacífico,
Calloatti.AutoTweaks.ColorName.00B5FF,Azur,
Calloatti.AutoTweaks.ColorName.00BFFF,Azul cielo profundo,
Calloatti.AutoTweaks.ColorName.00CC99,Verde caribe,
Calloatti.AutoTweaks.ColorName.00CCCC,Azul huevo de petirrojo,
Calloatti.AutoTweaks.ColorName.00CED1,Turquesa oscura,
Calloatti.AutoTweaks.ColorName.00FA9A,Verde primavera medio,
Calloatti.AutoTweaks.ColorName.00FBB0,Turquesa verdosa,
Calloatti.AutoTweaks.ColorName.00FF00,Lima,
Calloatti.AutoTweaks.ColorName.00FF7F,Verde primavera,
Calloatti.AutoTweaks.ColorName.00FFBF,Turquesa,
Calloatti.AutoTweaks.ColorName.00FFFF,Cian,
Calloatti.AutoTweaks.ColorName.010FCC,Azul verdadero,
Calloatti.AutoTweaks.ColorName.01153E,Marino,
Calloatti.AutoTweaks.ColorName.01386A,Azul marino,
Calloatti.AutoTweaks.ColorName.014182,Azul más bien oscuro,
Calloatti.AutoTweaks.ColorName.014600,Verde racing,
Calloatti.AutoTweaks.ColorName.014D4E,Verde azulado oscuro,
Calloatti.AutoTweaks.ColorName.015482,Azul mar profundo,
Calloatti.AutoTweaks.ColorName.0165FC,Azul brillante,
Calloatti.AutoTweaks.ColorName.016795,Azul pavo real,
Calloatti.AutoTweaks.ColorName.017371,Aguamarina oscura,
Calloatti.AutoTweaks.ColorName.017374,Turquesa profunda,
Calloatti.AutoTweaks.ColorName.01786F,Pino (Verde pino),
Calloatti.AutoTweaks.ColorName.017A79,Azul verdoso,
Calloatti.AutoTweaks.ColorName.017B92,Océano,
Calloatti.AutoTweaks.ColorName.01889F,Azul verde azulado,
Calloatti.AutoTweaks.ColorName.019529,Verde irlandés,
Calloatti.AutoTweaks.ColorName.01A049,Esmeralda,
Calloatti.AutoTweaks.ColorName.01B44C,Trébol,
Calloatti.AutoTweaks.ColorName.01C08D,Verde/azul,
Calloatti.AutoTweaks.ColorName.01F9C6,Verde azulado brillante,
Calloatti.AutoTweaks.ColorName.01FF07,Verde brillante,
Calloatti.AutoTweaks.ColorName.020035,Azul medianoche,
Calloatti.AutoTweaks.ColorName.0203E2,Azul puro,
Calloatti.AutoTweaks.ColorName.02066F,Azul real oscuro,
Calloatti.AutoTweaks.ColorName.021BF9,Azul rico,
Calloatti.AutoTweaks.ColorName.02590F,Verde profundo,
Calloatti.AutoTweaks.ColorName.028F1E,Verde esmeralda,
Calloatti.AutoTweaks.ColorName.029386,Verde azulado,
Calloatti.AutoTweaks.ColorName.02A4D3,Cerúleo,
Calloatti.AutoTweaks.ColorName.02AB2E,Verde Kelly,
Calloatti.AutoTweaks.ColorName.02C14D,Verde trébol,
Calloatti.AutoTweaks.ColorName.02CCFE,Azul cielo brillante,
Calloatti.AutoTweaks.ColorName.02D8E9,Azul aqua,
Calloatti.AutoTweaks.ColorName.03012D,Medianoche,
Calloatti.AutoTweaks.ColorName.030764,Azul oscuro,
Calloatti.AutoTweaks.ColorName.030AA7,Azul cobalto,
Calloatti.AutoTweaks.ColorName.033500,Verde oscuro,
Calloatti.AutoTweaks.ColorName.0339F8,Azul vibrante,
Calloatti.AutoTweaks.ColorName.0343DF,Azul,
Calloatti.AutoTweaks.ColorName.03719C,Azul océano,
Calloatti.AutoTweaks.ColorName.040273,Azul profundo,
Calloatti.AutoTweaks.ColorName.040348,Azul noche,
Calloatti.AutoTweaks.ColorName.042E60,Marino,
Calloatti.AutoTweaks.ColorName.044A05,Verde botella,
Calloatti.AutoTweaks.ColorName.045C5A,Turquesa oscura,
Calloatti.AutoTweaks.ColorName.047495,Azul mar,
Calloatti.AutoTweaks.ColorName.048243,Verde selva,
Calloatti.AutoTweaks.ColorName.0485D1,Cerúleo,
Calloatti.AutoTweaks.ColorName.04D8B2,Aguamarina,
Calloatti.AutoTweaks.ColorName.04D9FF,Azul neón,
Calloatti.AutoTweaks.ColorName.04F489,Verde turquesa,
Calloatti.AutoTweaks.ColorName.0504AA,Azul real,
Calloatti.AutoTweaks.ColorName.05472A,Hoja perenne,
Calloatti.AutoTweaks.ColorName.05480D,Verde British Racing,
Calloatti.AutoTweaks.ColorName.054907,Verde oscuro,
Calloatti.AutoTweaks.ColorName.05696B,Aqua oscuro,
Calloatti.AutoTweaks.ColorName.056EEE,Azul cerúleo,
Calloatti.AutoTweaks.ColorName.05FF54,Verde primavera,
Calloatti.AutoTweaks.ColorName.05FFA6,Verde mar brillante,
Calloatti.AutoTweaks.ColorName.062E03,Verde muy oscuro,
Calloatti.AutoTweaks.ColorName.06470C,Verde bosque,
Calloatti.AutoTweaks.ColorName.0652FF,Azul eléctrico,
Calloatti.AutoTweaks.ColorName.069AF3,Azur,
Calloatti.AutoTweaks.ColorName.06B1C4,Azul turquesa,
Calloatti.AutoTweaks.ColorName.06B48B,Azul verdoso,
Calloatti.AutoTweaks.ColorName.06C2AC,Turquesa,
Calloatti.AutoTweaks.ColorName.070D0D,Casi negro,
Calloatti.AutoTweaks.ColorName.0804F9,Azul primario,
Calloatti.AutoTweaks.ColorName.08787F,Aqua profundo,
Calloatti.AutoTweaks.ColorName.089404,Verde verdadero,
Calloatti.AutoTweaks.ColorName.08FF08,Verde fluorescente,
Calloatti.AutoTweaks.ColorName.0A437A,Azul crepúsculo,
Calloatti.AutoTweaks.ColorName.0A481E,Verde pino,
Calloatti.AutoTweaks.ColorName.0A5F38,Abeto,
Calloatti.AutoTweaks.ColorName.0A7E8C,Alga marina metálica,
Calloatti.AutoTweaks.ColorName.0A888A,Cian oscuro,
Calloatti.AutoTweaks.ColorName.0ADD08,Verde vibrante,
Calloatti.AutoTweaks.ColorName.0AFF02,Verde flúor,
Calloatti.AutoTweaks.ColorName.0B4008,Verde cazador,
Calloatti.AutoTweaks.ColorName.0B5509,Bosque,
Calloatti.AutoTweaks.ColorName.0B8B87,Azul verdoso,
Calloatti.AutoTweaks.ColorName.0BF77D,Verde menta,
Calloatti.AutoTweaks.ColorName.0BF9EA,Aqua brillante,
Calloatti.AutoTweaks.ColorName.0C06F7,Azul fuerte,
Calloatti.AutoTweaks.ColorName.0C1793,Real,
Calloatti.AutoTweaks.ColorName.0CB577,Verde azulado,
Calloatti.AutoTweaks.ColorName.0CDC73,Verde azulado,
Calloatti.AutoTweaks.ColorName.0CFF0C,Verde neón,
Calloatti.AutoTweaks.ColorName.0D75F8,Azul cielo profundo,
Calloatti.AutoTweaks.ColorName.0E87CC,Azul agua,
Calloatti.AutoTweaks.ColorName.0F9B8E,Azul/verde,
Calloatti.AutoTweaks.ColorName.0FFEF9,Turquesa brillante,
Calloatti.AutoTweaks.ColorName.107AB0,Azul bonito,
Calloatti.AutoTweaks.ColorName.10A674,Verde azulado,
Calloatti.AutoTweaks.ColorName.11875D,Verde mar oscuro,
Calloatti.AutoTweaks.ColorName.12161A,Atenuado (Apagado por defecto),
Calloatti.AutoTweaks.ColorName.12E193,Verde aqua,
Calloatti.AutoTweaks.ColorName.137E6D,Azul verdoso,
Calloatti.AutoTweaks.ColorName.13BBAF,Topacio,
Calloatti.AutoTweaks.ColorName.13EAC9,Aqua,
Calloatti.AutoTweaks.ColorName.14A989,Esmeralda,
Calloatti.AutoTweaks.ColorName.152EFF,Azul vivo,
Calloatti.AutoTweaks.ColorName.154406,Verde bosque,
Calloatti.AutoTweaks.ColorName.155084,Azul marino claro,
Calloatti.AutoTweaks.ColorName.1560BD,Mezclilla,
Calloatti.AutoTweaks.ColorName.15B01A,Verde,
Calloatti.AutoTweaks.ColorName.1805DB,Azul ultramar,
Calloatti.AutoTweaks.ColorName.18D17B,Alga marina,
Calloatti.AutoTweaks.ColorName.191970,Azul medianoche,
Calloatti.AutoTweaks.ColorName.1A1110,Regaliz,
Calloatti.AutoTweaks.ColorName.1A40FF,Azul real,
Calloatti.AutoTweaks.ColorName.1AB385,Prado de montaña,
Calloatti.AutoTweaks.ColorName.1AFF91,Aqua,
Calloatti.AutoTweaks.ColorName.1B1B1B,Negro inquietante,
Calloatti.AutoTweaks.ColorName.1B2431,Oscuro,
Calloatti.AutoTweaks.ColorName.1BFC06,Verde marcador,
Calloatti.AutoTweaks.ColorName.1D0200,Marrón muy oscuro,
Calloatti.AutoTweaks.ColorName.1D5DEC,Azul,
Calloatti.AutoTweaks.ColorName.1E488F,Cobalto,
Calloatti.AutoTweaks.ColorName.1E90FF,Azul Dodger,
Calloatti.AutoTweaks.ColorName.1E9167,Viridiana,
Calloatti.AutoTweaks.ColorName.1EF876,Hierbabuena,
Calloatti.AutoTweaks.ColorName.1F0954,Añil oscuro,
Calloatti.AutoTweaks.ColorName.1F3B4D,Gris azulado oscuro,
Calloatti.AutoTweaks.ColorName.1F6357,Azul verdoso oscuro,
Calloatti.AutoTweaks.ColorName.1FA774,Jade,
Calloatti.AutoTweaks.ColorName.1FB57A,Espuma de mar oscura,
Calloatti.AutoTweaks.ColorName.1FCC1F,Verde,
Calloatti.AutoTweaks.ColorName.2000B1,Ultramar,
Calloatti.AutoTweaks.ColorName.20B2AA,Verde mar claro,
Calloatti.AutoTweaks.ColorName.20C073,Verde menta oscuro,
Calloatti.AutoTweaks.ColorName.20F986,Gualteria,
Calloatti.AutoTweaks.ColorName.2138AB,Zafiro,
Calloatti.AutoTweaks.ColorName.214761,Azul pizarra oscuro,
Calloatti.AutoTweaks.ColorName.214FC6,Coche nuevo,
Calloatti.AutoTweaks.ColorName.21C36F,Verde algas,
Calloatti.AutoTweaks.ColorName.21FC0D,Verde eléctrico,
Calloatti.AutoTweaks.ColorName.2242C7,Azul azul,
Calloatti.AutoTweaks.ColorName.2243B6,Azul mezclilla,
Calloatti.AutoTweaks.ColorName.228B22,Verde bosque,
Calloatti.AutoTweaks.ColorName.23C48B,Azul verdoso,
Calloatti.AutoTweaks.ColorName.247AFD,Azul claro,
Calloatti.AutoTweaks.ColorName.24BCA8,Azul verdoso,
Calloatti.AutoTweaks.ColorName.253529,Chaqueta de cuero,
Calloatti.AutoTweaks.ColorName.25A36F,Verde azulado,
Calloatti.AutoTweaks.ColorName.25FF29,Verde intenso,
Calloatti.AutoTweaks.ColorName.26538D,Azul anochecer,
Calloatti.AutoTweaks.ColorName.26F7FD,Azul claro brillante,
Calloatti.AutoTweaks.ColorName.276AB3,Azul medio,
Calloatti.AutoTweaks.ColorName.280137,Púrpura medianoche,
Calloatti.AutoTweaks.ColorName.287C37,Verde más bien oscuro,
Calloatti.AutoTweaks.ColorName.2887C8,Azul verdoso,
Calloatti.AutoTweaks.ColorName.29465B,Azul grisáceo oscuro,
Calloatti.AutoTweaks.ColorName.2976BB,Azulado,
Calloatti.AutoTweaks.ColorName.299617,Verde baboso,
Calloatti.AutoTweaks.ColorName.2996CC,Bot,
Calloatti.AutoTweaks.ColorName.29AB87,Árbol koala (Verde selva),
Calloatti.AutoTweaks.ColorName.2A0134,Púrpura muy oscuro,
Calloatti.AutoTweaks.ColorName.2A7E19,Verde árbol,
Calloatti.AutoTweaks.ColorName.2AFEB7,Cian verdoso,
Calloatti.AutoTweaks.ColorName.2B5D34,Pino,
Calloatti.AutoTweaks.ColorName.2BAF6A,Verde jade,
Calloatti.AutoTweaks.ColorName.2BB179,Verde azulado,
Calloatti.AutoTweaks.ColorName.2C6FBB,Azul medio,
Calloatti.AutoTweaks.ColorName.2CFA1F,Verde radiactivo,
Calloatti.AutoTweaks.ColorName.2D383A,Espacio exterior,
Calloatti.AutoTweaks.ColorName.2D5DA1,Zafiro,
Calloatti.AutoTweaks.ColorName.2DFE54,Verde claro brillante,
Calloatti.AutoTweaks.ColorName.2E2D88,Cobalto cósmico,
Calloatti.AutoTweaks.ColorName.2E5894,Azul deslumbrante,
Calloatti.AutoTweaks.ColorName.2E5A88,Azul marino claro,
Calloatti.AutoTweaks.ColorName.2E8B57,Verde mar,
Calloatti.AutoTweaks.ColorName.2EE8BB,Verde azulado,
Calloatti.AutoTweaks.ColorName.2F4F4F,Gris pizarra oscuro,
Calloatti.AutoTweaks.ColorName.2FEF10,Verde vivo,
Calloatti.AutoTweaks.ColorName.30BFBF,Verde azulado máximo,
Calloatti.AutoTweaks.ColorName.31668A,Azul feo,
Calloatti.AutoTweaks.ColorName.319177,Esmeralda iluminada,
Calloatti.AutoTweaks.ColorName.32BF84,Verde azulado verdoso,
Calloatti.AutoTweaks.ColorName.32CD32,Verde lima,
Calloatti.AutoTweaks.ColorName.339ACC,Azul cerúleo,
Calloatti.AutoTweaks.ColorName.33B864,Verde frío,
Calloatti.AutoTweaks.ColorName.33CC99,Trébol,
Calloatti.AutoTweaks.ColorName.34013F,Violeta oscuro,
Calloatti.AutoTweaks.ColorName.341C02,Marrón oscuro,
Calloatti.AutoTweaks.ColorName.343837,Carbón,
Calloatti.AutoTweaks.ColorName.35063E,Púrpura oscuro,
Calloatti.AutoTweaks.ColorName.353839,Ónix,
Calloatti.AutoTweaks.ColorName.35530A,Verde marino,
Calloatti.AutoTweaks.ColorName.35AD6B,Verde alga,
Calloatti.AutoTweaks.ColorName.36013F,Púrpura profundo,
Calloatti.AutoTweaks.ColorName.363737,Gris oscuro,
Calloatti.AutoTweaks.ColorName.373E02,Oliva oscuro,
Calloatti.AutoTweaks.ColorName.3778BF,Azul Windows,
Calloatti.AutoTweaks.ColorName.380282,Añil,
Calloatti.AutoTweaks.ColorName.380835,Berenjena,
Calloatti.AutoTweaks.ColorName.388004,Verde hierba oscuro,
