ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Nero,
Calloatti.AutoTweaks.ColorName.000080,Blu marino,
Calloatti.AutoTweaks.ColorName.00008B,Blu scuro,
Calloatti.AutoTweaks.ColorName.0000CD,Blu medio,
Calloatti.AutoTweaks.ColorName.0000FF,Blu,
Calloatti.AutoTweaks.ColorName.000133,Blu molto scuro,
Calloatti.AutoTweaks.ColorName.00022E,Blu marino scuro,
Calloatti.AutoTweaks.ColorName.00035B,Blu scuro,
Calloatti.AutoTweaks.ColorName.000435,Blu marino scuro,
Calloatti.AutoTweaks.ColorName.001146,Blu marino,
Calloatti.AutoTweaks.ColorName.002D04,Verde foresta scuro,
Calloatti.AutoTweaks.ColorName.004577,Blu di Prussia,
Calloatti.AutoTweaks.ColorName.00468C,Blu notte,
Calloatti.AutoTweaks.ColorName.0048BA,Zero assoluto,
Calloatti.AutoTweaks.ColorName.005249,Verde-blu scuro,
Calloatti.AutoTweaks.ColorName.00555A,Verdeazzurro profondo,
Calloatti.AutoTweaks.ColorName.005F6A,Petrolio,
Calloatti.AutoTweaks.ColorName.006400,Verde scuro,
Calloatti.AutoTweaks.ColorName.0066CC,Blu marino,
Calloatti.AutoTweaks.ColorName.0066FF,Blu (III),
Calloatti.AutoTweaks.ColorName.00755E,Foresta pluviale tropicale,
Calloatti.AutoTweaks.ColorName.007DFF,Blu elettrico,
Calloatti.AutoTweaks.ColorName.008000,Verde,
Calloatti.AutoTweaks.ColorName.008080,Verdeazzurro,
Calloatti.AutoTweaks.ColorName.0081AB,Blu acciaio,
Calloatti.AutoTweaks.ColorName.008B8B,Ciano scuro,
Calloatti.AutoTweaks.ColorName.009337,Verde Kelley,
Calloatti.AutoTweaks.ColorName.0095B7,Verde-blu,
Calloatti.AutoTweaks.ColorName.009DC4,Blu Pacifico,
Calloatti.AutoTweaks.ColorName.00B5FF,Azzurro,
Calloatti.AutoTweaks.ColorName.00BFFF,Blu cielo profondo,
Calloatti.AutoTweaks.ColorName.00CC99,Verde caraibico,
Calloatti.AutoTweaks.ColorName.00CCCC,Blu uovo di pettirosso,
Calloatti.AutoTweaks.ColorName.00CED1,Turchese scuro,
Calloatti.AutoTweaks.ColorName.00FA9A,Verde primavera medio,
Calloatti.AutoTweaks.ColorName.00FBB0,Turchese verdastro,
Calloatti.AutoTweaks.ColorName.00FF00,Lime,
Calloatti.AutoTweaks.ColorName.00FF7F,Verde primavera,
Calloatti.AutoTweaks.ColorName.00FFBF,Turchese,
Calloatti.AutoTweaks.ColorName.00FFFF,Ciano,
Calloatti.AutoTweaks.ColorName.010FCC,Blu vero,
Calloatti.AutoTweaks.ColorName.01153E,Blu marino,
Calloatti.AutoTweaks.ColorName.01386A,Blu marino,
Calloatti.AutoTweaks.ColorName.014182,Blu piuttosto scuro,
Calloatti.AutoTweaks.ColorName.014600,Verde racing,
