ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Czarne,
Calloatti.AutoTweaks.ColorName.000080,Marynarka,
Calloatti.AutoTweaks.ColorName.00008B,Ciemnyniebieski,
Calloatti.AutoTweaks.ColorName.0000CD,Średni niebieski,
Calloatti.AutoTweaks.ColorName.0000FF,Niebieskie,
Calloatti.AutoTweaks.ColorName.000133,Bardzo ciemny niebieski,
Calloatti.AutoTweaks.ColorName.00022E,Ciemny granatowy niebieski,
Calloatti.AutoTweaks.ColorName.00035B,Ciemny niebieski,
Calloatti.AutoTweaks.ColorName.000435,Ciemny granat,
Calloatti.AutoTweaks.ColorName.001146,Marynarkowy niebieski,
Calloatti.AutoTweaks.ColorName.002D04,Ciemny leśny zielony,
Calloatti.AutoTweaks.ColorName.004577,Pruski niebieski,
Calloatti.AutoTweaks.ColorName.00468C,Nocne niebieskie,
Calloatti.AutoTweaks.ColorName.0048BA,Absolutne zero,
Calloatti.AutoTweaks.ColorName.005249,Ciemny niebiesko-zielony,
Calloatti.AutoTweaks.ColorName.00555A,Głęboki teal,
Calloatti.AutoTweaks.ColorName.005F6A,Paliwo,
Calloatti.AutoTweaks.ColorName.006400,Ciemnyzielony,
Calloatti.AutoTweaks.ColorName.0066CC,Marynarkowy niebieski,
Calloatti.AutoTweaks.ColorName.0066FF,Niebieskie (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropikalny las deszczowa,
Calloatti.AutoTweaks.ColorName.007DFF,Elektrycznyniebieski,
Calloatti.AutoTweaks.ColorName.008000,Zielony,
Calloatti.AutoTweaks.ColorName.008080,Teal,
Calloatti.AutoTweaks.ColorName.0081AB,Stalowy niebieski,
Calloatti.AutoTweaks.ColorName.008B8B,Ciemnycyjan,
Calloatti.AutoTweaks.ColorName.009337,Kelley zielone,
Calloatti.AutoTweaks.ColorName.0095B7,Niebiesko-zielone,
Calloatti.AutoTweaks.ColorName.009DC4,Pacyficzne niebieskie,
Calloatti.AutoTweaks.ColorName.00B5FF,Lazur,
Calloatti.AutoTweaks.ColorName.00BFFF,Głębokiniebieskiniebo,
Calloatti.AutoTweaks.ColorName.00CC99,Karaibskie zielone,
Calloatti.AutoTweaks.ColorName.00CCCC,Motylowy jajko niebieskie,
Calloatti.AutoTweaks.ColorName.00CED1,Ciemnyturkusowy,
Calloatti.AutoTweaks.ColorName.00FA9A,Średnia wiosenna trawa,
Calloatti.AutoTweaks.ColorName.00FBB0,Zielonkawy turkusowy,
Calloatti.AutoTweaks.ColorName.00FF00,Limonka,
Calloatti.AutoTweaks.ColorName.00FF7F,Wiosennazielony,
Calloatti.AutoTweaks.ColorName.00FFBF,Turkus,
Calloatti.AutoTweaks.ColorName.00FFFF,Cyjan,
Calloatti.AutoTweaks.ColorName.010FCC,Prawdziwe niebieskie,
Calloatti.AutoTweaks.ColorName.01153E,Marynarka,
Calloatti.AutoTweaks.ColorName.01386A,Marina niebieska,
Calloatti.AutoTweaks.ColorName.014182,Przyciemnione niebieskie,
Calloatti.AutoTweaks.ColorName.014600,Wyścigi zielony,
Calloatti.AutoTweaks.ColorName.014D4E,Ciemny teal,
Calloatti.AutoTweaks.ColorName.015482,Głębiny morskie niebieskie,
Calloatti.AutoTweaks.ColorName.0165FC,Jasny niebieski,
Calloatti.AutoTweaks.ColorName.016795,Niebieskie żabka,
Calloatti.AutoTweaks.ColorName.017371,Ciemna akwamaryna,
Calloatti.AutoTweaks.ColorName.017374,Głęboki turkusowy,
Calloatti.AutoTweaks.ColorName.01786F,Sosna (zielony sosna),
Calloatti.AutoTweaks.ColorName.017A79,Niebieskozielony,
Calloatti.AutoTweaks.ColorName.017B92,Oceany,
Calloatti.AutoTweaks.ColorName.01889F,Teal niebieski,
Calloatti.AutoTweaks.ColorName.019529,Irlandzkie zielone,
Calloatti.AutoTweaks.ColorName.01A049,Smaragd,
Calloatti.AutoTweaks.ColorName.01B44C,Szczypiornia,
Calloatti.AutoTweaks.ColorName.01C08D,Zielony/Niebieski,
Calloatti.AutoTweaks.ColorName.01F9C6,Jasny teal,
Calloatti.AutoTweaks.ColorName.01FF07,Jasny zielony,
Calloatti.AutoTweaks.ColorName.020035,Nocne niebieskie,
Calloatti.AutoTweaks.ColorName.0203E2,Czyste niebieskie,
Calloatti.AutoTweaks.ColorName.02066F,Ciemny królewski niebieski,
Calloatti.AutoTweaks.ColorName.021BF9,Bogate niebieskie,
Calloatti.AutoTweaks.ColorName.02590F,Głęboki zielony,
Calloatti.AutoTweaks.ColorName.028F1E,Smaragdowe zielone,
Calloatti.AutoTweaks.ColorName.029386,Teal,
Calloatti.AutoTweaks.ColorName.02A4D3,Cerulean,
Calloatti.AutoTweaks.ColorName.02AB2E,Kelly zielone,
Calloatti.AutoTweaks.ColorName.02C14D,Szczypiornia zielony,
Calloatti.AutoTweaks.ColorName.02CCFE,Jasny niebieski niebo,
Calloatti.AutoTweaks.ColorName.02D8E9,Aqua błękit,
Calloatti.AutoTweaks.ColorName.03012D,Północ,
Calloatti.AutoTweaks.ColorName.030764,Ciemnyniebieski,
Calloatti.AutoTweaks.ColorName.030AA7,Kobaltowe niebieskie,
Calloatti.AutoTweaks.ColorName.033500,Ciemny zielony,
Calloatti.AutoTweaks.ColorName.0339F8,Vibrancy niebieskie,
Calloatti.AutoTweaks.ColorName.0343DF,Niebieskie,
Calloatti.AutoTweaks.ColorName.03719C,Okeaniczny niebieskie,
Calloatti.AutoTweaks.ColorName.040273,Głęboki niebieski,
Calloatti.AutoTweaks.ColorName.040348,Nocne niebieskie,
Calloatti.AutoTweaks.ColorName.042E60,Marina,
Calloatti.AutoTweaks.ColorName.044A05,Butelkowe zielone,
Calloatti.AutoTweaks.ColorName.045C5A,Ciemny turkusowy,
Calloatti.AutoTweaks.ColorName.047495,Morze niebieskie,
Calloatti.AutoTweaks.ColorName.048243,Dżunglowe zielone,
Calloatti.AutoTweaks.ColorName.0485D1,Cerulean,
Calloatti.AutoTweaks.ColorName.04D8B2,Akwamaryna,
Calloatti.AutoTweaks.ColorName.04D9FF,Neon niebieskie,
Calloatti.AutoTweaks.ColorName.04F489,Turkusowo-zielony,
Calloatti.AutoTweaks.ColorName.0504AA,Królewskie niebieskie,
Calloatti.AutoTweaks.ColorName.05472A,Wiecznieziele,
Calloatti.AutoTweaks.ColorName.05480D,Brytyjski zielony wyścigowy,
Calloatti.AutoTweaks.ColorName.054907,Ciemnyzielony,
Calloatti.AutoTweaks.ColorName.05696B,Ciemny aqua,
Calloatti.AutoTweaks.ColorName.056EEE,Cerulean niebieski,
Calloatti.AutoTweaks.ColorName.05FF54,Wiosennazielony,
Calloatti.AutoTweaks.ColorName.05FFA6,Jasny morski zielony,
Calloatti.AutoTweaks.ColorName.062E03,Bardzo ciemne zielone,
Calloatti.AutoTweaks.ColorName.06470C,Leśne zielone,
Calloatti.AutoTweaks.ColorName.0652FF,Elektryczny niebieski,
Calloatti.AutoTweaks.ColorName.069AF3,Lazur,
Calloatti.AutoTweaks.ColorName.06B1C4,Turkusowy niebieski,
Calloatti.AutoTweaks.ColorName.06B48B,Zielono-niebieskie,
Calloatti.AutoTweaks.ColorName.06C2AC,Turkus,
Calloatti.AutoTweaks.ColorName.070D0D,Prawie czarne,
Calloatti.AutoTweaks.ColorName.0804F9,Podstawowe niebieskie,
Calloatti.AutoTweaks.ColorName.08787F,Głębia aqua,
Calloatti.AutoTweaks.ColorName.089404,Prawdziwe zielone,
Calloatti.AutoTweaks.ColorName.08FF08,Fluorescencyjne zielone,
Calloatti.AutoTweaks.ColorName.0A437A,Przygodowy niebieski,
Calloatti.AutoTweaks.ColorName.0A481E,Zielony sosna,
Calloatti.AutoTweaks.ColorName.0A5F38,Śpieg,
Calloatti.AutoTweaks.ColorName.0A7E8C,Metaliczny alg,
Calloatti.AutoTweaks.ColorName.0A888A,Ciemny cyjan,
Calloatti.AutoTweaks.ColorName.0ADD08,Vibrancy zielony,
Calloatti.AutoTweaks.ColorName.0AFF02,Fluro zielone,
Calloatti.AutoTweaks.ColorName.0B4008,Łowieckie zielone,
Calloatti.AutoTweaks.ColorName.0B5509,Las,
Calloatti.AutoTweaks.ColorName.0B8B87,Zielonkawe niebieskie,
Calloatti.AutoTweaks.ColorName.0BF77D,Miętowy odcień zielony,
Calloatti.AutoTweaks.ColorName.0BF9EA,Jasny aqua,
Calloatti.AutoTweaks.ColorName.0C06F7,Silne niebieskie,
Calloatti.AutoTweaks.ColorName.0C1793,Królewski,
Calloatti.AutoTweaks.ColorName.0CB577,Zielony teal,
Calloatti.AutoTweaks.ColorName.0CDC73,Blednienie zielone,
Calloatti.AutoTweaks.ColorName.0CFF0C,Neon zielony,
Calloatti.AutoTweaks.ColorName.0D75F8,Głęboki błękit nieba,
Calloatti.AutoTweaks.ColorName.0E87CC,Wodne niebieskie,
Calloatti.AutoTweaks.ColorName.0F9B8E,Niebieski/Zielony,
Calloatti.AutoTweaks.ColorName.0FFEF9,Jasny turkusowy,
Calloatti.AutoTweaks.ColorName.107AB0,Przyzwoite niebieskie,
Calloatti.AutoTweaks.ColorName.10A674,Niebieskawe zielone,
Calloatti.AutoTweaks.ColorName.11875D,Ciemny morski zielony,
Calloatti.AutoTweaks.ColorName.12161A,Przyciemnione (domyślnie wył.),
Calloatti.AutoTweaks.ColorName.12E193,Aqua zielone,
Calloatti.AutoTweaks.ColorName.137E6D,Niebiesko-zielone,
Calloatti.AutoTweaks.ColorName.13BBAF,Topaz,
Calloatti.AutoTweaks.ColorName.13EAC9,Aqua,
Calloatti.AutoTweaks.ColorName.14A989,Smaragd,
Calloatti.AutoTweaks.ColorName.152EFF,Żywe niebieskie,
Calloatti.AutoTweaks.ColorName.154406,Leśne zielone,
Calloatti.AutoTweaks.ColorName.155084,Jasny granat,
Calloatti.AutoTweaks.ColorName.1560BD,Dżins,
Calloatti.AutoTweaks.ColorName.15B01A,Zielony,
Calloatti.AutoTweaks.ColorName.1805DB,Ultramarynowy niebieski,
