ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,ดำ,
Calloatti.AutoTweaks.ColorName.000080,Navคล้าย,
Calloatti.AutoTweaks.ColorName.00008B,DarkBlue,
Calloatti.AutoTweaks.ColorName.0000CD,MediumBlue,
Calloatti.AutoTweaks.ColorName.0000FF,ฟ้า,
Calloatti.AutoTweaks.ColorName.000133,Verคล้าย มืด ฟ้า,
Calloatti.AutoTweaks.ColorName.00022E,มืด Navคล้าย ฟ้า,
Calloatti.AutoTweaks.ColorName.00035B,มืด ฟ้า,
Calloatti.AutoTweaks.ColorName.000435,มืด Navคล้าย,
Calloatti.AutoTweaks.ColorName.001146,Navคล้าย ฟ้า,
Calloatti.AutoTweaks.ColorName.002D04,มืด Forest เขียว,
Calloatti.AutoTweaks.ColorName.004577,Prussian ฟ้า,
Calloatti.AutoTweaks.ColorName.00468C,Midnight ฟ้า,
Calloatti.AutoTweaks.ColorName.0048BA,Absolute Zero,
Calloatti.AutoTweaks.ColorName.005249,มืด ฟ้า เขียว,
Calloatti.AutoTweaks.ColorName.00555A,ลึก เขียวฟ้า,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Darkgreen,
Calloatti.AutoTweaks.ColorName.0066CC,Navคล้าย ฟ้า,
Calloatti.AutoTweaks.ColorName.0066FF,ฟ้า (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropical Rain Forest,
Calloatti.AutoTweaks.ColorName.007DFF,ElectricBlue,
Calloatti.AutoTweaks.ColorName.008000,เขียว,
Calloatti.AutoTweaks.ColorName.008080,เขียวฟ้า,
Calloatti.AutoTweaks.ColorName.0081AB,Steel ฟ้า,
Calloatti.AutoTweaks.ColorName.008B8B,DarkCyan,
Calloatti.AutoTweaks.ColorName.009337,Kelleคล้าย เขียว,
Calloatti.AutoTweaks.ColorName.0095B7,Blue-Green,
Calloatti.AutoTweaks.ColorName.009DC4,Pacific ฟ้า,
Calloatti.AutoTweaks.ColorName.00B5FF,Azure,
Calloatti.AutoTweaks.ColorName.00BFFF,DeepSkyBlue,
Calloatti.AutoTweaks.ColorName.00CC99,Caribbean เขียว,
Calloatti.AutoTweaks.ColorName.00CCCC,Robin'S Egg ฟ้า,
Calloatti.AutoTweaks.ColorName.00CED1,DarkTurquoise,
Calloatti.AutoTweaks.ColorName.00FA9A,MediumSpringGreen,
Calloatti.AutoTweaks.ColorName.00FBB0,เขียวใกล้เคียง เทอร์โคอยซ์,
Calloatti.AutoTweaks.ColorName.00FF00,ไม้ไผง,
Calloatti.AutoTweaks.ColorName.00FF7F,SpringGreen,
Calloatti.AutoTweaks.ColorName.00FFBF,เทอร์โคอยซ์,
Calloatti.AutoTweaks.ColorName.00FFFF,เขียวฟ้าน้ำทะเล,
Calloatti.AutoTweaks.ColorName.010FCC,True ฟ้า,
Calloatti.AutoTweaks.ColorName.01153E,Navคล้าย,
Calloatti.AutoTweaks.ColorName.01386A,Marine ฟ้า,
Calloatti.AutoTweaks.ColorName.014182,มืดใกล้เคียง ฟ้า,
Calloatti.AutoTweaks.ColorName.014600,Racing เขียว,
Calloatti.AutoTweaks.ColorName.014D4E,มืด เขียวฟ้า,
Calloatti.AutoTweaks.ColorName.015482,ลึก Sea ฟ้า,
Calloatti.AutoTweaks.ColorName.0165FC,สดใส ฟ้า,
Calloatti.AutoTweaks.ColorName.016795,Peacock ฟ้า,
Calloatti.AutoTweaks.ColorName.017371,มืด Aquamarine,
Calloatti.AutoTweaks.ColorName.017374,ลึก เทอร์โคอยซ์,
Calloatti.AutoTweaks.ColorName.01786F,Pine Tree (Pine Green),
Calloatti.AutoTweaks.ColorName.017A79,Bluegreen,
Calloatti.AutoTweaks.ColorName.017B92,Ocean,
Calloatti.AutoTweaks.ColorName.01889F,เขียวฟ้า ฟ้า,
Calloatti.AutoTweaks.ColorName.019529,Irใกล้เคียง เขียว,
Calloatti.AutoTweaks.ColorName.01A049,Emerald,
Calloatti.AutoTweaks.ColorName.01B44C,Shamrock,
Calloatti.AutoTweaks.ColorName.01C08D,Green/Blue,
Calloatti.AutoTweaks.ColorName.01F9C6,สดใส เขียวฟ้า,
Calloatti.AutoTweaks.ColorName.01FF07,สดใส เขียว,
Calloatti.AutoTweaks.ColorName.020035,Midnight ฟ้า,
Calloatti.AutoTweaks.ColorName.0203E2,Pure ฟ้า,
Calloatti.AutoTweaks.ColorName.02066F,มืด Royal ฟ้า,
Calloatti.AutoTweaks.ColorName.021BF9,หนัก ฟ้า,
Calloatti.AutoTweaks.ColorName.02590F,ลึก เขียว,
Calloatti.AutoTweaks.ColorName.028F1E,Emerald เขียว,
Calloatti.AutoTweaks.ColorName.029386,เขียวฟ้า,
Calloatti.AutoTweaks.ColorName.02A4D3,Cerulean,
Calloatti.AutoTweaks.ColorName.02AB2E,Kellคล้าย เขียว,
Calloatti.AutoTweaks.ColorName.02C14D,Shamrock เขียว,
Calloatti.AutoTweaks.ColorName.02CCFE,สดใส Sky ฟ้า,
Calloatti.AutoTweaks.ColorName.02D8E9,อคว่าง ฟ้า,
Calloatti.AutoTweaks.ColorName.03012D,Midnight,
Calloatti.AutoTweaks.ColorName.030764,DarkBlue,
Calloatti.AutoTweaks.ColorName.030AA7,Cobalt ฟ้า,
Calloatti.AutoTweaks.ColorName.033500,มืด เขียว,
Calloatti.AutoTweaks.ColorName.0339F8,สดใส ฟ้า,
Calloatti.AutoTweaks.ColorName.0343DF,ฟ้า,
Calloatti.AutoTweaks.ColorName.03719C,Ocean ฟ้า,
Calloatti.AutoTweaks.ColorName.040273,ลึก ฟ้า,
Calloatti.AutoTweaks.ColorName.040348,Night ฟ้า,
Calloatti.AutoTweaks.ColorName.042E60,Marine,
Calloatti.AutoTweaks.ColorName.044A05,Bottle เขียว,
Calloatti.AutoTweaks.ColorName.045C5A,มืด เทอร์โคอยซ์,
Calloatti.AutoTweaks.ColorName.047495,Sea ฟ้า,
Calloatti.AutoTweaks.ColorName.048243,Jungle เขียว,
Calloatti.AutoTweaks.ColorName.0485D1,Cerulean,
Calloatti.AutoTweaks.ColorName.04D8B2,Aquamarine,
Calloatti.AutoTweaks.ColorName.04D9FF,นีออน ฟ้า,
Calloatti.AutoTweaks.ColorName.04F489,เทอร์โคอยซ์ เขียว,
Calloatti.AutoTweaks.ColorName.0504AA,Royal ฟ้า,
Calloatti.AutoTweaks.ColorName.05472A,Evergreen,
Calloatti.AutoTweaks.ColorName.05480D,Britใกล้เคียง Racing เขียว,
Calloatti.AutoTweaks.ColorName.054907,Darkgreen,
Calloatti.AutoTweaks.ColorName.05696B,มืด อคว่าง,
Calloatti.AutoTweaks.ColorName.056EEE,Cerulean ฟ้า,
Calloatti.AutoTweaks.ColorName.05FF54,SpringGreen,
Calloatti.AutoTweaks.ColorName.05FFA6,สดใส Sea เขียว,
Calloatti.AutoTweaks.ColorName.062E03,Verคล้าย มืด เขียว,
Calloatti.AutoTweaks.ColorName.06470C,Forest เขียว,
Calloatti.AutoTweaks.ColorName.0652FF,ไฟฟ้า ฟ้า,
Calloatti.AutoTweaks.ColorName.069AF3,Azure,
Calloatti.AutoTweaks.ColorName.06B1C4,เทอร์โคอยซ์ ฟ้า,
Calloatti.AutoTweaks.ColorName.06B48B,เขียว ฟ้า,
Calloatti.AutoTweaks.ColorName.06C2AC,เทอร์โคอยซ์,
Calloatti.AutoTweaks.ColorName.070D0D,Almost ดำ,
Calloatti.AutoTweaks.ColorName.0804F9,Primarคล้าย ฟ้า,
Calloatti.AutoTweaks.ColorName.08787F,ลึก อคว่าง,
Calloatti.AutoTweaks.ColorName.089404,True เขียว,
Calloatti.AutoTweaks.ColorName.08FF08,Fluorescent เขียว,
Calloatti.AutoTweaks.ColorName.0A437A,twilight ฟ้า,
Calloatti.AutoTweaks.ColorName.0A481E,Pine เขียว,
Calloatti.AutoTweaks.ColorName.0A5F38,Spruce,
Calloatti.AutoTweaks.ColorName.0A7E8C,Metallic Seaweed,
Calloatti.AutoTweaks.ColorName.0A888A,มืด เขียวฟ้าน้ำทะเล,
Calloatti.AutoTweaks.ColorName.0ADD08,สดใส เขียว,
Calloatti.AutoTweaks.ColorName.0AFF02,Fluro เขียว,
Calloatti.AutoTweaks.ColorName.0B4008,Hunter เขียว,
Calloatti.AutoTweaks.ColorName.0B5509,Forest,
Calloatti.AutoTweaks.ColorName.0B8B87,เขียวใกล้เคียง ฟ้า,
Calloatti.AutoTweaks.ColorName.0BF77D,น้ำฮะนี่คล้าย เขียว,
Calloatti.AutoTweaks.ColorName.0BF9EA,สดใส อคว่าง,
Calloatti.AutoTweaks.ColorName.0C06F7,Strong ฟ้า,
Calloatti.AutoTweaks.ColorName.0C1793,Royal,
Calloatti.AutoTweaks.ColorName.0CB577,เขียว เขียวฟ้า,
Calloatti.AutoTweaks.ColorName.0CDC73,เขียวฟ้าใกล้เคียง เขียว,
Calloatti.AutoTweaks.ColorName.0CFF0C,นีออน เขียว,
Calloatti.AutoTweaks.ColorName.0D75F8,ลึก Sky ฟ้า,
Calloatti.AutoTweaks.ColorName.0E87CC,Water ฟ้า,
Calloatti.AutoTweaks.ColorName.0F9B8E,Blue/Green,
Calloatti.AutoTweaks.ColorName.0FFEF9,สดใส เทอร์โคอยซ์,
Calloatti.AutoTweaks.ColorName.107AB0,Nice ฟ้า,
Calloatti.AutoTweaks.ColorName.10A674,Bluใกล้เคียง เขียว,
Calloatti.AutoTweaks.ColorName.11875D,มืด Sea เขียว,
Calloatti.AutoTweaks.ColorName.12161A,Dimmed (Default Off),
Calloatti.AutoTweaks.ColorName.12E193,อคว่าง เขียว,
Calloatti.AutoTweaks.ColorName.137E6D,ฟ้า เขียว,
Calloatti.AutoTweaks.ColorName.13BBAF,Topaz,
Calloatti.AutoTweaks.ColorName.13EAC9,อคว่าง,
Calloatti.AutoTweaks.ColorName.14A989,Emerald,
Calloatti.AutoTweaks.ColorName.152EFF,สด ฟ้า,
Calloatti.AutoTweaks.ColorName.154406,Forrest เขียว,
Calloatti.AutoTweaks.ColorName.155084,สว่าง Navคล้าย,
Calloatti.AutoTweaks.ColorName.1560BD,Denim,
Calloatti.AutoTweaks.ColorName.15B01A,เขียว,
Calloatti.AutoTweaks.ColorName.1805DB,Ultramarine ฟ้า,
Calloatti.AutoTweaks.ColorName.18D17B,Seaweed,
Calloatti.AutoTweaks.ColorName.191970,MidnightBlue,
Calloatti.AutoTweaks.ColorName.1A1110,Licorice,
Calloatti.AutoTweaks.ColorName.1A40FF,RoyalBlue,
Calloatti.AutoTweaks.ColorName.1AB385,Mountain Meadow,
Calloatti.AutoTweaks.ColorName.1AFF91,อคว่าง,
Calloatti.AutoTweaks.ColorName.1B1B1B,Eerie ดำ,
Calloatti.AutoTweaks.ColorName.1B2431,มืด,
Calloatti.AutoTweaks.ColorName.1BFC06,Highlighter เขียว,
Calloatti.AutoTweaks.ColorName.1D0200,Verคล้าย มืด น้ำตาล,
Calloatti.AutoTweaks.ColorName.1D5DEC,Azul,
Calloatti.AutoTweaks.ColorName.1E488F,Cobalt,
Calloatti.AutoTweaks.ColorName.1E90FF,DodgerBlue,
