ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,siyah,
Calloatti.AutoTweaks.ColorName.000080,Nav,
Calloatti.AutoTweaks.ColorName.00008B,DarkBlue,
Calloatti.AutoTweaks.ColorName.0000CD,MediumBlue,
Calloatti.AutoTweaks.ColorName.0000FF,mavi,
Calloatti.AutoTweaks.ColorName.000133,Ver karanlık mavi,
Calloatti.AutoTweaks.ColorName.00022E,karanlık Nav mavi,
Calloatti.AutoTweaks.ColorName.00035B,karanlık mavi,
Calloatti.AutoTweaks.ColorName.000435,karanlık Nav,
Calloatti.AutoTweaks.ColorName.001146,Nav mavi,
Calloatti.AutoTweaks.ColorName.002D04,karanlık Forest yeşil,
Calloatti.AutoTweaks.ColorName.004577,Prussian mavi,
Calloatti.AutoTweaks.ColorName.00468C,Midnight mavi,
Calloatti.AutoTweaks.ColorName.0048BA,Absolute Zero,
Calloatti.AutoTweaks.ColorName.005249,karanlık mavi yeşil,
Calloatti.AutoTweaks.ColorName.00555A,derin denizyeşili,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Darkgreen,
Calloatti.AutoTweaks.ColorName.0066CC,Nav mavi,
Calloatti.AutoTweaks.ColorName.0066FF,mavi (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropical Rain Forest,
Calloatti.AutoTweaks.ColorName.007DFF,ElectricBlue,
Calloatti.AutoTweaks.ColorName.008000,yeşil,
Calloatti.AutoTweaks.ColorName.008080,denizyeşili,
Calloatti.AutoTweaks.ColorName.0081AB,Steel mavi,
Calloatti.AutoTweaks.ColorName.008B8B,DarkCyan,
Calloatti.AutoTweaks.ColorName.009337,Kelle yeşil,
Calloatti.AutoTweaks.ColorName.0095B7,Blue-Green,
Calloatti.AutoTweaks.ColorName.009DC4,Pacific mavi,
Calloatti.AutoTweaks.ColorName.00B5FF,Azure,
Calloatti.AutoTweaks.ColorName.00BFFF,DeepSkyBlue,
Calloatti.AutoTweaks.ColorName.00CC99,Caribbean yeşil,
Calloatti.AutoTweaks.ColorName.00CCCC,Robin'S Egg mavi,
Calloatti.AutoTweaks.ColorName.00CED1,DarkTurquoise,
Calloatti.AutoTweaks.ColorName.00FA9A,MediumSpringGreen,
Calloatti.AutoTweaks.ColorName.00FBB0,yeşil turkuaz,
Calloatti.AutoTweaks.ColorName.00FF00,lime,
Calloatti.AutoTweaks.ColorName.00FF7F,SpringGreen,
Calloatti.AutoTweaks.ColorName.00FFBF,turkuaz,
Calloatti.AutoTweaks.ColorName.00FFFF,cyan,
Calloatti.AutoTweaks.ColorName.010FCC,True mavi,
Calloatti.AutoTweaks.ColorName.01153E,Nav,
Calloatti.AutoTweaks.ColorName.01386A,Marine mavi,
Calloatti.AutoTweaks.ColorName.014182,karanlık mavi,
Calloatti.AutoTweaks.ColorName.014600,Racing yeşil,
Calloatti.AutoTweaks.ColorName.014D4E,karanlık denizyeşili,
Calloatti.AutoTweaks.ColorName.015482,derin Sea mavi,
Calloatti.AutoTweaks.ColorName.0165FC,parlak mavi,
Calloatti.AutoTweaks.ColorName.016795,Peacock mavi,
Calloatti.AutoTweaks.ColorName.017371,karanlık Aquamarine,
Calloatti.AutoTweaks.ColorName.017374,derin turkuaz,
Calloatti.AutoTweaks.ColorName.01786F,Pine Tree (Pine Green),
Calloatti.AutoTweaks.ColorName.017A79,Bluegreen,
Calloatti.AutoTweaks.ColorName.017B92,Ocean,
Calloatti.AutoTweaks.ColorName.01889F,denizyeşili mavi,
Calloatti.AutoTweaks.ColorName.019529,Ir yeşil,
Calloatti.AutoTweaks.ColorName.01A049,Emerald,
Calloatti.AutoTweaks.ColorName.01B44C,Shamrock,
Calloatti.AutoTweaks.ColorName.01C08D,Green/Blue,
Calloatti.AutoTweaks.ColorName.01F9C6,parlak denizyeşili,
