ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,чорний,
Calloatti.AutoTweaks.ColorName.000080,Navоватий,
Calloatti.AutoTweaks.ColorName.00008B,DarkBlue,
Calloatti.AutoTweaks.ColorName.0000CD,MediumBlue,
Calloatti.AutoTweaks.ColorName.0000FF,синій,
Calloatti.AutoTweaks.ColorName.000133,Verоватий темний синій,
Calloatti.AutoTweaks.ColorName.00022E,темний Navоватий синій,
Calloatti.AutoTweaks.ColorName.00035B,темний синій,
Calloatti.AutoTweaks.ColorName.000435,темний Navоватий,
Calloatti.AutoTweaks.ColorName.001146,Navоватий синій,
Calloatti.AutoTweaks.ColorName.002D04,темний Forest зелений,
Calloatti.AutoTweaks.ColorName.004577,Prussian синій,
Calloatti.AutoTweaks.ColorName.00468C,Midnight синій,
Calloatti.AutoTweaks.ColorName.0048BA,Absolute Zero,
Calloatti.AutoTweaks.ColorName.005249,темний синій зелений,
Calloatti.AutoTweaks.ColorName.00555A,глибокий бірюзовий,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Darkgreen,
Calloatti.AutoTweaks.ColorName.0066CC,Navоватий синій,
Calloatti.AutoTweaks.ColorName.0066FF,синій (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropical Rain Forest,
Calloatti.AutoTweaks.ColorName.007DFF,ElectricBlue,
Calloatti.AutoTweaks.ColorName.008000,зелений,
Calloatti.AutoTweaks.ColorName.008080,бірюзовий,
Calloatti.AutoTweaks.ColorName.0081AB,Steel синій,
Calloatti.AutoTweaks.ColorName.008B8B,DarkCyan,
Calloatti.AutoTweaks.ColorName.009337,Kelleоватий зелений,
Calloatti.AutoTweaks.ColorName.0095B7,Blue-Green,
Calloatti.AutoTweaks.ColorName.009DC4,Pacific синій,
Calloatti.AutoTweaks.ColorName.00B5FF,Azure,
Calloatti.AutoTweaks.ColorName.00BFFF,DeepSkyBlue,
Calloatti.AutoTweaks.ColorName.00CC99,Caribbean зелений,
Calloatti.AutoTweaks.ColorName.00CCCC,Robin'S Egg синій,
Calloatti.AutoTweaks.ColorName.00CED1,DarkTurquoise,
Calloatti.AutoTweaks.ColorName.00FA9A,MediumSpringGreen,
Calloatti.AutoTweaks.ColorName.00FBB0,зеленийоватий бірюзовий,
Calloatti.AutoTweaks.ColorName.00FF00,лаймовий,
Calloatti.AutoTweaks.ColorName.00FF7F,SpringGreen,
Calloatti.AutoTweaks.ColorName.00FFBF,бірюзовий,
Calloatti.AutoTweaks.ColorName.00FFFF,циан,
Calloatti.AutoTweaks.ColorName.010FCC,True синій,
Calloatti.AutoTweaks.ColorName.01153E,Navоватий,
Calloatti.AutoTweaks.ColorName.01386A,Marine синій,
Calloatti.AutoTweaks.ColorName.014182,темнийоватий синій,
Calloatti.AutoTweaks.ColorName.014600,Racing зелений,
Calloatti.AutoTweaks.ColorName.014D4E,темний бірюзовий,
Calloatti.AutoTweaks.ColorName.015482,глибокий Sea синій,
Calloatti.AutoTweaks.ColorName.0165FC,яскравий синій,
Calloatti.AutoTweaks.ColorName.016795,Peacock синій,
Calloatti.AutoTweaks.ColorName.017371,темний Aquamarine,
Calloatti.AutoTweaks.ColorName.017374,глибокий бірюзовий,
Calloatti.AutoTweaks.ColorName.01786F,Pine Tree (Pine Green),
Calloatti.AutoTweaks.ColorName.017A79,Bluegreen,
Calloatti.AutoTweaks.ColorName.017B92,Ocean,
Calloatti.AutoTweaks.ColorName.01889F,бірюзовий синій,
Calloatti.AutoTweaks.ColorName.019529,Irоватий зелений,
Calloatti.AutoTweaks.ColorName.01A049,Emerald,
Calloatti.AutoTweaks.ColorName.01B44C,Shamrock,
Calloatti.AutoTweaks.ColorName.01C08D,Green/Blue,
Calloatti.AutoTweaks.ColorName.01F9C6,яскравий бірюзовий,
Calloatti.AutoTweaks.ColorName.01FF07,яскравий зелений,
Calloatti.AutoTweaks.ColorName.020035,Midnight синій,
Calloatti.AutoTweaks.ColorName.0203E2,Pure синій,
Calloatti.AutoTweaks.ColorName.02066F,темний Royal синій,
Calloatti.AutoTweaks.ColorName.021BF9,насичений синій,
Calloatti.AutoTweaks.ColorName.02590F,глибокий зелений,
Calloatti.AutoTweaks.ColorName.028F1E,Emerald зелений,
Calloatti.AutoTweaks.ColorName.029386,бірюзовий,
Calloatti.AutoTweaks.ColorName.02A4D3,Cerulean,
Calloatti.AutoTweaks.ColorName.02AB2E,Kellоватий зелений,
Calloatti.AutoTweaks.ColorName.02C14D,Shamrock зелений,
Calloatti.AutoTweaks.ColorName.02CCFE,яскравий Sky синій,
Calloatti.AutoTweaks.ColorName.02D8E9,аква синій,
Calloatti.AutoTweaks.ColorName.03012D,Midnight,
Calloatti.AutoTweaks.ColorName.030764,DarkBlue,
Calloatti.AutoTweaks.ColorName.030AA7,Cobalt синій,
Calloatti.AutoTweaks.ColorName.033500,темний зелений,
Calloatti.AutoTweaks.ColorName.0339F8,яскравий синій,
Calloatti.AutoTweaks.ColorName.0343DF,синій,
Calloatti.AutoTweaks.ColorName.03719C,Ocean синій,
Calloatti.AutoTweaks.ColorName.040273,глибокий синій,
Calloatti.AutoTweaks.ColorName.040348,Night синій,
Calloatti.AutoTweaks.ColorName.042E60,Marine,
Calloatti.AutoTweaks.ColorName.044A05,Bottle зелений,
