ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,黑色,
Calloatti.AutoTweaks.ColorName.000080,Nav色,
Calloatti.AutoTweaks.ColorName.00008B,DarkBlue,
Calloatti.AutoTweaks.ColorName.0000CD,MediumBlue,
Calloatti.AutoTweaks.ColorName.0000FF,蓝色,
Calloatti.AutoTweaks.ColorName.000133,Ver色 深 蓝色,
Calloatti.AutoTweaks.ColorName.00022E,深 Nav色 蓝色,
Calloatti.AutoTweaks.ColorName.00035B,深 蓝色,
Calloatti.AutoTweaks.ColorName.000435,深 Nav色,
Calloatti.AutoTweaks.ColorName.001146,Nav色 蓝色,
Calloatti.AutoTweaks.ColorName.002D04,深 Forest 绿色,
Calloatti.AutoTweaks.ColorName.004577,Prussian 蓝色,
Calloatti.AutoTweaks.ColorName.00468C,Midnight 蓝色,
Calloatti.AutoTweaks.ColorName.0048BA,Absolute Zero,
Calloatti.AutoTweaks.ColorName.005249,深 蓝色 绿色,
Calloatti.AutoTweaks.ColorName.00555A,深 蓝绿色,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Darkgreen,
Calloatti.AutoTweaks.ColorName.0066CC,Nav色 蓝色,
Calloatti.AutoTweaks.ColorName.0066FF,蓝色 (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropical Rain Forest,
Calloatti.AutoTweaks.ColorName.007DFF,ElectricBlue,
Calloatti.AutoTweaks.ColorName.008000,绿色,
Calloatti.AutoTweaks.ColorName.008080,蓝绿色,
Calloatti.AutoTweaks.ColorName.0081AB,Steel 蓝色,
Calloatti.AutoTweaks.ColorName.008B8B,DarkCyan,
Calloatti.AutoTweaks.ColorName.009337,Kelle色 绿色,
Calloatti.AutoTweaks.ColorName.0095B7,Blue-Green,
Calloatti.AutoTweaks.ColorName.009DC4,Pacific 蓝色,
Calloatti.AutoTweaks.ColorName.00B5FF,Azure,
Calloatti.AutoTweaks.ColorName.00BFFF,DeepSkyBlue,
Calloatti.AutoTweaks.ColorName.00CC99,Caribbean 绿色,
Calloatti.AutoTweaks.ColorName.00CCCC,Robin'S Egg 蓝色,
Calloatti.AutoTweaks.ColorName.00CED1,DarkTurquoise,
Calloatti.AutoTweaks.ColorName.00FA9A,MediumSpringGreen,
