ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Schwarz,
Calloatti.AutoTweaks.ColorName.000080,Marineblau,
Calloatti.AutoTweaks.ColorName.00008B,Dunkelblau,
Calloatti.AutoTweaks.ColorName.0000CD,Mittleres Blau,
Calloatti.AutoTweaks.ColorName.0000FF,Blau,
Calloatti.AutoTweaks.ColorName.000133,Sehr dunkles Blau,
Calloatti.AutoTweaks.ColorName.00022E,Dunkles Marineblau,
Calloatti.AutoTweaks.ColorName.00035B,Dunkelblau,
Calloatti.AutoTweaks.ColorName.000435,Dunkles Marineblau,
Calloatti.AutoTweaks.ColorName.001146,Marineblau,
Calloatti.AutoTweaks.ColorName.002D04,Dunkles Waldgrün,
Calloatti.AutoTweaks.ColorName.004577,Preußischblau,
Calloatti.AutoTweaks.ColorName.00468C,Mitternachtsblau,
Calloatti.AutoTweaks.ColorName.0048BA,Absoluter Nullpunkt,
Calloatti.AutoTweaks.ColorName.005249,Dunkles Blaugrün,
Calloatti.AutoTweaks.ColorName.00555A,Tiefes Petrol,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Dunkelgrün,
Calloatti.AutoTweaks.ColorName.0066CC,Marineblau,
Calloatti.AutoTweaks.ColorName.0066FF,Blau (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropischer Regenwald,
Calloatti.AutoTweaks.ColorName.007DFF,Elektroblau,
Calloatti.AutoTweaks.ColorName.008000,Grün,
Calloatti.AutoTweaks.ColorName.008080,Petrol,
Calloatti.AutoTweaks.ColorName.0081AB,Stahlblau,
Calloatti.AutoTweaks.ColorName.008B8B,Dunkles Cyan,
Calloatti.AutoTweaks.ColorName.009337,Kelley-Grün,
Calloatti.AutoTweaks.ColorName.0095B7,Blaugrün,
Calloatti.AutoTweaks.ColorName.009DC4,Pazifikblau,
Calloatti.AutoTweaks.ColorName.00B5FF,Azur,
Calloatti.AutoTweaks.ColorName.00BFFF,Tiefes Himmelblau,
Calloatti.AutoTweaks.ColorName.00CC99,Karibikgrün,
Calloatti.AutoTweaks.ColorName.00CCCC,Rotkehlchen-Eiblau,
Calloatti.AutoTweaks.ColorName.00CED1,Dunkles Türkis,
Calloatti.AutoTweaks.ColorName.00FA9A,Mittleres Frühlingsgrün,
Calloatti.AutoTweaks.ColorName.00FBB0,Grünliches Türkis,
Calloatti.AutoTweaks.ColorName.00FF00,Limettengrün,
Calloatti.AutoTweaks.ColorName.00FF7F,Frühlingsgrün,
Calloatti.AutoTweaks.ColorName.00FFBF,Türkis,
Calloatti.AutoTweaks.ColorName.00FFFF,Cyan,
Calloatti.AutoTweaks.ColorName.010FCC,Echtes Blau,
Calloatti.AutoTweaks.ColorName.01153E,Marineblau,
Calloatti.AutoTweaks.ColorName.01386A,Marineblau,
Calloatti.AutoTweaks.ColorName.014182,Eher Dunkles Blau,
Calloatti.AutoTweaks.ColorName.014600,Racing Green,
Calloatti.AutoTweaks.ColorName.014D4E,Dunkles Petrol,
Calloatti.AutoTweaks.ColorName.015482,Tiefseeblau,
Calloatti.AutoTweaks.ColorName.0165FC,Helles Blau,
Calloatti.AutoTweaks.ColorName.016795,Pfauenblau,
Calloatti.AutoTweaks.ColorName.017371,Dunkles Aquamarin,
Calloatti.AutoTweaks.ColorName.017374,Tiefes Türkis,
Calloatti.AutoTweaks.ColorName.01786F,Kiefernbaum (Kieferngrün),
Calloatti.AutoTweaks.ColorName.017A79,Blaugrün,
Calloatti.AutoTweaks.ColorName.017B92,Ozean,
Calloatti.AutoTweaks.ColorName.01889F,Petrolblau,
Calloatti.AutoTweaks.ColorName.019529,Irisch Grün,
Calloatti.AutoTweaks.ColorName.01A049,Smaragd,
Calloatti.AutoTweaks.ColorName.01B44C,Kleeblatt,
Calloatti.AutoTweaks.ColorName.01C08D,Grün/Blau,
Calloatti.AutoTweaks.ColorName.01F9C6,Helles Petrol,
