ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Black,
Calloatti.AutoTweaks.ColorName.000080,Navy,
Calloatti.AutoTweaks.ColorName.00008B,DarkBlue,
Calloatti.AutoTweaks.ColorName.0000CD,MediumBlue,
Calloatti.AutoTweaks.ColorName.0000FF,Blue,
Calloatti.AutoTweaks.ColorName.000133,Very Dark Blue,
Calloatti.AutoTweaks.ColorName.00022E,Dark Navy Blue,
Calloatti.AutoTweaks.ColorName.00035B,Dark Blue,
Calloatti.AutoTweaks.ColorName.000435,Dark Navy,
Calloatti.AutoTweaks.ColorName.001146,Navy Blue,
Calloatti.AutoTweaks.ColorName.002D04,Dark Forest Green,
Calloatti.AutoTweaks.ColorName.004577,Prussian Blue,
Calloatti.AutoTweaks.ColorName.00468C,Midnight Blue,
Calloatti.AutoTweaks.ColorName.0048BA,Absolute Zero,
Calloatti.AutoTweaks.ColorName.005249,Dark Blue Green,
Calloatti.AutoTweaks.ColorName.00555A,Deep Teal,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,DarkGreen,
Calloatti.AutoTweaks.ColorName.0066CC,Navy Blue,
Calloatti.AutoTweaks.ColorName.0066FF,Blue (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropical Rain Forest,
Calloatti.AutoTweaks.ColorName.007DFF,ElectricBlue,
Calloatti.AutoTweaks.ColorName.008000,Green,
Calloatti.AutoTweaks.ColorName.008080,Teal,
Calloatti.AutoTweaks.ColorName.0081AB,Steel Blue,
Calloatti.AutoTweaks.ColorName.008B8B,DarkCyan,
Calloatti.AutoTweaks.ColorName.009337,Kelley Green,
Calloatti.AutoTweaks.ColorName.0095B7,Blue-Green,
Calloatti.AutoTweaks.ColorName.009DC4,Pacific Blue,
Calloatti.AutoTweaks.ColorName.00B5FF,Azure,
Calloatti.AutoTweaks.ColorName.00BFFF,DeepSkyBlue,
Calloatti.AutoTweaks.ColorName.00CC99,Caribbean Green,
Calloatti.AutoTweaks.ColorName.00CCCC,Robin's Egg Blue,
Calloatti.AutoTweaks.ColorName.00CED1,DarkTurquoise,
Calloatti.AutoTweaks.ColorName.00FA9A,MediumSpringGreen,
Calloatti.AutoTweaks.ColorName.00FBB0,Greenish Turquoise,
Calloatti.AutoTweaks.ColorName.00FF00,Lime,
Calloatti.AutoTweaks.ColorName.00FF7F,SpringGreen,
Calloatti.AutoTweaks.ColorName.00FFBF,Turquoise,
Calloatti.AutoTweaks.ColorName.00FFFF,Cyan,
Calloatti.AutoTweaks.ColorName.010FCC,True Blue,
Calloatti.AutoTweaks.ColorName.01153E,Navy,
Calloatti.AutoTweaks.ColorName.01386A,Marine Blue,
Calloatti.AutoTweaks.ColorName.014182,Darkish Blue,
Calloatti.AutoTweaks.ColorName.014600,Racing Green,
Calloatti.AutoTweaks.ColorName.014D4E,Dark Teal,
Calloatti.AutoTweaks.ColorName.015482,Deep Sea Blue,
Calloatti.AutoTweaks.ColorName.0165FC,Bright Blue,
