ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Noir,
Calloatti.AutoTweaks.ColorName.000080,Marine,
Calloatti.AutoTweaks.ColorName.00008B,Bleu sombre,
Calloatti.AutoTweaks.ColorName.0000CD,Bleu moyen,
Calloatti.AutoTweaks.ColorName.0000FF,Bleu,
Calloatti.AutoTweaks.ColorName.000133,Bleu très sombre,
Calloatti.AutoTweaks.ColorName.00022E,Bleu marine sombre,
Calloatti.AutoTweaks.ColorName.00035B,Bleu sombre,
Calloatti.AutoTweaks.ColorName.000435,Marine sombre,
Calloatti.AutoTweaks.ColorName.001146,Bleu marine,
Calloatti.AutoTweaks.ColorName.002D04,Vert forêt sombre,
Calloatti.AutoTweaks.ColorName.004577,Bleu de Prusse,
Calloatti.AutoTweaks.ColorName.00468C,Bleu nuit,
Calloatti.AutoTweaks.ColorName.0048BA,Zéro absolu,
Calloatti.AutoTweaks.ColorName.005249,Vert bleu sombre,
Calloatti.AutoTweaks.ColorName.00555A,Sarcelle profonde,
Calloatti.AutoTweaks.ColorName.005F6A,Pétrole,
Calloatti.AutoTweaks.ColorName.006400,Vert sombre,
Calloatti.AutoTweaks.ColorName.0066CC,Bleu marine,
Calloatti.AutoTweaks.ColorName.0066FF,Bleu (III),
Calloatti.AutoTweaks.ColorName.00755E,Forêt tropicale humide,
Calloatti.AutoTweaks.ColorName.007DFF,Bleu électrique,
Calloatti.AutoTweaks.ColorName.008000,Vert,
Calloatti.AutoTweaks.ColorName.008080,Sarcelle,
Calloatti.AutoTweaks.ColorName.0081AB,Bleu acier,
Calloatti.AutoTweaks.ColorName.008B8B,Cyan sombre,
Calloatti.AutoTweaks.ColorName.009337,Vert Kelley,
Calloatti.AutoTweaks.ColorName.0095B7,Bleu vert,
Calloatti.AutoTweaks.ColorName.009DC4,Bleu pacifique,
Calloatti.AutoTweaks.ColorName.00B5FF,Azur,
Calloatti.AutoTweaks.ColorName.00BFFF,Bleu ciel profond,
Calloatti.AutoTweaks.ColorName.00CC99,Vert caraïbe,
Calloatti.AutoTweaks.ColorName.00CCCC,Bleu œuf de rouge-gorge,
Calloatti.AutoTweaks.ColorName.00CED1,Turquoise sombre,
Calloatti.AutoTweaks.ColorName.00FA9A,Vert printemps moyen,
Calloatti.AutoTweaks.ColorName.00FBB0,Turquoise verdâtre,
Calloatti.AutoTweaks.ColorName.00FF00,Citron vert,
Calloatti.AutoTweaks.ColorName.00FF7F,Vert printemps,
Calloatti.AutoTweaks.ColorName.00FFBF,Turquoise,
Calloatti.AutoTweaks.ColorName.00FFFF,Cyan,
Calloatti.AutoTweaks.ColorName.010FCC,Bleu vrai,
Calloatti.AutoTweaks.ColorName.01153E,Marine,
Calloatti.AutoTweaks.ColorName.01386A,Bleu marine,
Calloatti.AutoTweaks.ColorName.014182,Bleu plutôt sombre,
Calloatti.AutoTweaks.ColorName.014600,Vert racing,
Calloatti.AutoTweaks.ColorName.014D4E,Sarcelle sombre,
Calloatti.AutoTweaks.ColorName.015482,Bleu mer profonde,
Calloatti.AutoTweaks.ColorName.0165FC,Bleu vif,
Calloatti.AutoTweaks.ColorName.016795,Bleu paon,
Calloatti.AutoTweaks.ColorName.017371,Aquamarine sombre,
Calloatti.AutoTweaks.ColorName.017374,Turquoise profonde,
Calloatti.AutoTweaks.ColorName.01786F,Pin (Vert pin),
Calloatti.AutoTweaks.ColorName.017A79,Bleu vert,
Calloatti.AutoTweaks.ColorName.017B92,Océan,
Calloatti.AutoTweaks.ColorName.01889F,Bleu sarcelle,
Calloatti.AutoTweaks.ColorName.019529,Vert irlandais,
Calloatti.AutoTweaks.ColorName.01A049,Émeraude,
Calloatti.AutoTweaks.ColorName.01B44C,Trèfle,
Calloatti.AutoTweaks.ColorName.01C08D,Vert/bleu,
Calloatti.AutoTweaks.ColorName.01F9C6,Sarcelle vive,
Calloatti.AutoTweaks.ColorName.01FF07,Vert vif,
Calloatti.AutoTweaks.ColorName.020035,Bleu nuit,
Calloatti.AutoTweaks.ColorName.0203E2,Bleu pur,
Calloatti.AutoTweaks.ColorName.02066F,Bleu royal sombre,
Calloatti.AutoTweaks.ColorName.021BF9,Bleu riche,
Calloatti.AutoTweaks.ColorName.02590F,Vert profond,
