ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,黒,
Calloatti.AutoTweaks.ColorName.000080,ネイビー,
Calloatti.AutoTweaks.ColorName.00008B,ダークブルー,
Calloatti.AutoTweaks.ColorName.0000CD,ミディアムブルー,
Calloatti.AutoTweaks.ColorName.0000FF,青,
Calloatti.AutoTweaks.ColorName.000133,とても濃い青,
Calloatti.AutoTweaks.ColorName.00022E,濃いネイビーブルー,
Calloatti.AutoTweaks.ColorName.00035B,濃い青,
Calloatti.AutoTweaks.ColorName.000435,濃い紺色,
Calloatti.AutoTweaks.ColorName.001146,ネイビーブルー,
Calloatti.AutoTweaks.ColorName.002D04,暗いフォレストグリーン,
Calloatti.AutoTweaks.ColorName.004577,プロシアンブルー,
Calloatti.AutoTweaks.ColorName.00468C,ミッドナイトブルー,
Calloatti.AutoTweaks.ColorName.0048BA,絶対零度,
Calloatti.AutoTweaks.ColorName.005249,濃い青緑,
Calloatti.AutoTweaks.ColorName.00555A,深いティール,
Calloatti.AutoTweaks.ColorName.005F6A,ペトロール,
Calloatti.AutoTweaks.ColorName.006400,ダークグリーン,
Calloatti.AutoTweaks.ColorName.0066CC,ネイビーブルー,
Calloatti.AutoTweaks.ColorName.0066FF,青（III）,
Calloatti.AutoTweaks.ColorName.00755E,熱帯雨林,
Calloatti.AutoTweaks.ColorName.007DFF,エレクトリックブルー,
Calloatti.AutoTweaks.ColorName.008000,緑,
Calloatti.AutoTweaks.ColorName.008080,ティール,
Calloatti.AutoTweaks.ColorName.0081AB,スチールブルー,
Calloatti.AutoTweaks.ColorName.008B8B,ダークシアン,
Calloatti.AutoTweaks.ColorName.009337,ケリ―グリーン,
Calloatti.AutoTweaks.ColorName.0095B7,青緑,
Calloatti.AutoTweaks.ColorName.009DC4,パシフィックブルー,
Calloatti.AutoTweaks.ColorName.00B5FF,アジュール,
Calloatti.AutoTweaks.ColorName.00BFFF,ディープスカイブルー,
Calloatti.AutoTweaks.ColorName.00CC99,カリビアングリーン,
Calloatti.AutoTweaks.ColorName.00CCCC,コマドリの卵色,
Calloatti.AutoTweaks.ColorName.00CED1,ダークターコイズ,
Calloatti.AutoTweaks.ColorName.00FA9A,ミディアムスプリンググリーン,
Calloatti.AutoTweaks.ColorName.00FBB0,緑がかったターコイズ,
Calloatti.AutoTweaks.ColorName.00FF00,ライム,
Calloatti.AutoTweaks.ColorName.00FF7F,スプリンググリーン,
Calloatti.AutoTweaks.ColorName.00FFBF,ターコイズ,
Calloatti.AutoTweaks.ColorName.00FFFF,シアン,
Calloatti.AutoTweaks.ColorName.010FCC,トゥルーブルー,
Calloatti.AutoTweaks.ColorName.01153E,ネイビー,
Calloatti.AutoTweaks.ColorName.01386A,マリンブルー,
Calloatti.AutoTweaks.ColorName.014182,濃いめの青,
Calloatti.AutoTweaks.ColorName.014600,レーシンググリーン,
Calloatti.AutoTweaks.ColorName.014D4E,ダークティール,
Calloatti.AutoTweaks.ColorName.015482,深海ブルー,
Calloatti.AutoTweaks.ColorName.0165FC,明るい青,
Calloatti.AutoTweaks.ColorName.016795,ピーコックブルー,
Calloatti.AutoTweaks.ColorName.017371,暗いアクアマリン,
Calloatti.AutoTweaks.ColorName.017374,深いターコイズ,
Calloatti.AutoTweaks.ColorName.01786F,松の木 (パイングリーン),
Calloatti.AutoTweaks.ColorName.017A79,青緑,
Calloatti.AutoTweaks.ColorName.017B92,海,
Calloatti.AutoTweaks.ColorName.01889F,ティールブルー,
Calloatti.AutoTweaks.ColorName.019529,アイリッシュグリーン,
Calloatti.AutoTweaks.ColorName.01A049,エメラルド,
Calloatti.AutoTweaks.ColorName.01B44C,シャムロック,
Calloatti.AutoTweaks.ColorName.01C08D,緑/青,
Calloatti.AutoTweaks.ColorName.01F9C6,明るいティール,
Calloatti.AutoTweaks.ColorName.01FF07,明るい緑,
Calloatti.AutoTweaks.ColorName.020035,ミッドナイトブルー,
Calloatti.AutoTweaks.ColorName.0203E2,純粋な青,
Calloatti.AutoTweaks.ColorName.02066F,濃いロイヤルブルー,
Calloatti.AutoTweaks.ColorName.021BF9,深みのある青,
Calloatti.AutoTweaks.ColorName.02590F,深い緑,
Calloatti.AutoTweaks.ColorName.028F1E,エメラルドグリーン,
Calloatti.AutoTweaks.ColorName.029386,ティール,
Calloatti.AutoTweaks.ColorName.02A4D3,セルリアン,
Calloatti.AutoTweaks.ColorName.02AB2E,ケリ―グリーン,
Calloatti.AutoTweaks.ColorName.02C14D,シャムロックグリーン,
Calloatti.AutoTweaks.ColorName.02CCFE,明るいスカイブルー,
Calloatti.AutoTweaks.ColorName.02D8E9,アクアブルー,
Calloatti.AutoTweaks.ColorName.03012D,ミッドナイト,
Calloatti.AutoTweaks.ColorName.030764,ダークブルー,
Calloatti.AutoTweaks.ColorName.030AA7,コバルトブルー,
Calloatti.AutoTweaks.ColorName.033500,濃い緑,
Calloatti.AutoTweaks.ColorName.0339F8,鮮やかな青,
Calloatti.AutoTweaks.ColorName.0343DF,青,
Calloatti.AutoTweaks.ColorName.03719C,オーシャンブルー,
Calloatti.AutoTweaks.ColorName.040273,深い青,
Calloatti.AutoTweaks.ColorName.040348,夜の青,
Calloatti.AutoTweaks.ColorName.042E60,マリンブルー,
Calloatti.AutoTweaks.ColorName.044A05,ボトルグリーン,
Calloatti.AutoTweaks.ColorName.045C5A,ダークターコイズ,
Calloatti.AutoTweaks.ColorName.047495,シーブルー,
Calloatti.AutoTweaks.ColorName.048243,ジャングルグリーン,
Calloatti.AutoTweaks.ColorName.0485D1,セルリアン,
Calloatti.AutoTweaks.ColorName.04D8B2,アクアマリン,
Calloatti.AutoTweaks.ColorName.04D9FF,ネオンブルー,
Calloatti.AutoTweaks.ColorName.04F489,ターコイズグリーン,
Calloatti.AutoTweaks.ColorName.0504AA,ロイヤルブルー,
Calloatti.AutoTweaks.ColorName.05472A,常緑,
Calloatti.AutoTweaks.ColorName.05480D,ブリティッシュレーシンググリーン,
Calloatti.AutoTweaks.ColorName.054907,ダークグリーン,
Calloatti.AutoTweaks.ColorName.05696B,暗いアクア,
Calloatti.AutoTweaks.ColorName.056EEE,セルリアンブルー,
Calloatti.AutoTweaks.ColorName.05FF54,スプリンググリーン,
Calloatti.AutoTweaks.ColorName.05FFA6,明るいシーグリーン,
Calloatti.AutoTweaks.ColorName.062E03,とても濃い緑,
Calloatti.AutoTweaks.ColorName.06470C,フォレストグリーン,
Calloatti.AutoTweaks.ColorName.0652FF,エレクトリックブルー,
Calloatti.AutoTweaks.ColorName.069AF3,アジュール,
Calloatti.AutoTweaks.ColorName.06B1C4,ターコイズブルー,
Calloatti.AutoTweaks.ColorName.06B48B,緑がかった青,
Calloatti.AutoTweaks.ColorName.06C2AC,ターコイズ,
Calloatti.AutoTweaks.ColorName.070D0D,ほぼ黒,
Calloatti.AutoTweaks.ColorName.0804F9,プライマリーブルー,
Calloatti.AutoTweaks.ColorName.08787F,深いアクア色,
Calloatti.AutoTweaks.ColorName.089404,トゥルーグリーン,
Calloatti.AutoTweaks.ColorName.08FF08,蛍光グリーン,
Calloatti.AutoTweaks.ColorName.0A437A,トワイライトブルー,
Calloatti.AutoTweaks.ColorName.0A481E,パイングリーン,
Calloatti.AutoTweaks.ColorName.0A5F38,トウヒ,
