ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,검정,
Calloatti.AutoTweaks.ColorName.000080,네이비,
Calloatti.AutoTweaks.ColorName.00008B,다크블루,
Calloatti.AutoTweaks.ColorName.0000CD,미디엄블루,
Calloatti.AutoTweaks.ColorName.0000FF,파랑,
Calloatti.AutoTweaks.ColorName.000133,매우 어두운 블루,
Calloatti.AutoTweaks.ColorName.00022E,다크 네이비 블루,
Calloatti.AutoTweaks.ColorName.00035B,다크 블루,
Calloatti.AutoTweaks.ColorName.000435,다크 네이비,
Calloatti.AutoTweaks.ColorName.001146,네이비 블루,
Calloatti.AutoTweaks.ColorName.002D04,다크 포레스트 그린,
Calloatti.AutoTweaks.ColorName.004577,프러시안 블루,
Calloatti.AutoTweaks.ColorName.00468C,미드나이트 블루,
Calloatti.AutoTweaks.ColorName.0048BA,앱솔루트 제로,
Calloatti.AutoTweaks.ColorName.005249,다크 블루 그린,
Calloatti.AutoTweaks.ColorName.00555A,딥 틸,
Calloatti.AutoTweaks.ColorName.005F6A,페트롤,
Calloatti.AutoTweaks.ColorName.006400,다크그린,
Calloatti.AutoTweaks.ColorName.0066CC,네이비 블루,
Calloatti.AutoTweaks.ColorName.0066FF,파랑 (III),
Calloatti.AutoTweaks.ColorName.00755E,열대 우림,
Calloatti.AutoTweaks.ColorName.007DFF,일렉트릭블루,
Calloatti.AutoTweaks.ColorName.008000,그린,
Calloatti.AutoTweaks.ColorName.008080,틸,
Calloatti.AutoTweaks.ColorName.0081AB,스틸 블루,
Calloatti.AutoTweaks.ColorName.008B8B,다크시안,
Calloatti.AutoTweaks.ColorName.009337,켈리 그린,
Calloatti.AutoTweaks.ColorName.0095B7,블루 그린,
Calloatti.AutoTweaks.ColorName.009DC4,퍼시픽 블루,
Calloatti.AutoTweaks.ColorName.00B5FF,하늘색,
Calloatti.AutoTweaks.ColorName.00BFFF,딥스카이블루,
Calloatti.AutoTweaks.ColorName.00CC99,캐리비안 그린,
Calloatti.AutoTweaks.ColorName.00CCCC,로빈스 에그 블루,
Calloatti.AutoTweaks.ColorName.00CED1,다크터콰이즈,
Calloatti.AutoTweaks.ColorName.00FA9A,미디엄스프링그린,
Calloatti.AutoTweaks.ColorName.00FBB0,그린빛 터콰이즈,
Calloatti.AutoTweaks.ColorName.00FF00,라임,
Calloatti.AutoTweaks.ColorName.00FF7F,스프링그린,
Calloatti.AutoTweaks.ColorName.00FFBF,터콰이즈,
Calloatti.AutoTweaks.ColorName.00FFFF,시안,
Calloatti.AutoTweaks.ColorName.010FCC,트루 블루,
Calloatti.AutoTweaks.ColorName.01153E,네이비,
Calloatti.AutoTweaks.ColorName.01386A,마린 블루,
Calloatti.AutoTweaks.ColorName.014182,짙은 블루,
Calloatti.AutoTweaks.ColorName.014600,레이싱 그린,
Calloatti.AutoTweaks.ColorName.014D4E,다크 틸,
Calloatti.AutoTweaks.ColorName.015482,딥 씨 블루,
Calloatti.AutoTweaks.ColorName.0165FC,브라이트 블루,
Calloatti.AutoTweaks.ColorName.016795,공작새 블루,
Calloatti.AutoTweaks.ColorName.017371,다크 아쿠아마린,
Calloatti.AutoTweaks.ColorName.017374,딥 터콰이즈,
Calloatti.AutoTweaks.ColorName.01786F,소나무 (소나무 그린),
Calloatti.AutoTweaks.ColorName.017A79,블루그린,
Calloatti.AutoTweaks.ColorName.017B92,오션,
Calloatti.AutoTweaks.ColorName.01889F,틸 블루,
Calloatti.AutoTweaks.ColorName.019529,아이리시 그린,
Calloatti.AutoTweaks.ColorName.01A049,에메랄드,
Calloatti.AutoTweaks.ColorName.01B44C,샴록,
Calloatti.AutoTweaks.ColorName.01C08D,그린/블루,
Calloatti.AutoTweaks.ColorName.01F9C6,브라이트 틸,
Calloatti.AutoTweaks.ColorName.01FF07,브라이트 그린,
Calloatti.AutoTweaks.ColorName.020035,미드나이트 블루,
Calloatti.AutoTweaks.ColorName.0203E2,순수 블루,
Calloatti.AutoTweaks.ColorName.02066F,다크 로열 블루,
Calloatti.AutoTweaks.ColorName.021BF9,리치 블루,
Calloatti.AutoTweaks.ColorName.02590F,딥 그린,
Calloatti.AutoTweaks.ColorName.028F1E,에메랄드 그린,
Calloatti.AutoTweaks.ColorName.029386,틸,
Calloatti.AutoTweaks.ColorName.02A4D3,세룰리안,
Calloatti.AutoTweaks.ColorName.02AB2E,켈리 그린,
Calloatti.AutoTweaks.ColorName.02C14D,샴록 그린,
Calloatti.AutoTweaks.ColorName.02CCFE,브라이트 스카이 블루,
Calloatti.AutoTweaks.ColorName.02D8E9,아쿠아 블루,
Calloatti.AutoTweaks.ColorName.03012D,미드나이트,
Calloatti.AutoTweaks.ColorName.030764,다크블루,
Calloatti.AutoTweaks.ColorName.030AA7,코발트 블루,
Calloatti.AutoTweaks.ColorName.033500,다크 그린,
Calloatti.AutoTweaks.ColorName.0339F8,바이브런트 블루,
Calloatti.AutoTweaks.ColorName.0343DF,파랑,
Calloatti.AutoTweaks.ColorName.03719C,오션 블루,
Calloatti.AutoTweaks.ColorName.040273,딥 블루,
Calloatti.AutoTweaks.ColorName.040348,나이트 블루,
Calloatti.AutoTweaks.ColorName.042E60,마린,
Calloatti.AutoTweaks.ColorName.044A05,병 그린,
Calloatti.AutoTweaks.ColorName.045C5A,다크 터콰이즈,
Calloatti.AutoTweaks.ColorName.047495,씨 블루,
Calloatti.AutoTweaks.ColorName.048243,정글 그린,
Calloatti.AutoTweaks.ColorName.0485D1,세룰리안,
Calloatti.AutoTweaks.ColorName.04D8B2,아쿠아마린,
Calloatti.AutoTweaks.ColorName.04D9FF,네온 블루,
Calloatti.AutoTweaks.ColorName.04F489,터콰이즈 그린,
Calloatti.AutoTweaks.ColorName.0504AA,로열 블루,
Calloatti.AutoTweaks.ColorName.05472A,상록수,
Calloatti.AutoTweaks.ColorName.05480D,브리티시 레이싱 그린,
Calloatti.AutoTweaks.ColorName.054907,다크그린,
Calloatti.AutoTweaks.ColorName.05696B,다크 아쿠아,
Calloatti.AutoTweaks.ColorName.056EEE,세룰리안 블루,
Calloatti.AutoTweaks.ColorName.05FF54,스프링그린,
Calloatti.AutoTweaks.ColorName.05FFA6,브라이트 씨 그린,
Calloatti.AutoTweaks.ColorName.062E03,매우 어두운 그린,
Calloatti.AutoTweaks.ColorName.06470C,포레스트 그린,
Calloatti.AutoTweaks.ColorName.0652FF,일렉트릭 블루,
Calloatti.AutoTweaks.ColorName.069AF3,하늘색,
Calloatti.AutoTweaks.ColorName.06B1C4,터콰이즈 블루,
Calloatti.AutoTweaks.ColorName.06B48B,그린 블루,
Calloatti.AutoTweaks.ColorName.06C2AC,터콰이즈,
Calloatti.AutoTweaks.ColorName.070D0D,거의 검정,
Calloatti.AutoTweaks.ColorName.0804F9,프라이머리 블루,
Calloatti.AutoTweaks.ColorName.08787F,딥 아쿠아,
Calloatti.AutoTweaks.ColorName.089404,트루 그린,
Calloatti.AutoTweaks.ColorName.08FF08,형광 그린,
Calloatti.AutoTweaks.ColorName.0A437A,트와일라잇 블루,
Calloatti.AutoTweaks.ColorName.0A481E,소나무 그린,
Calloatti.AutoTweaks.ColorName.0A5F38,가문비나무,
Calloatti.AutoTweaks.ColorName.0A7E8C,메탈릭 씨위드,
Calloatti.AutoTweaks.ColorName.0A888A,다크 시안,
Calloatti.AutoTweaks.ColorName.0ADD08,바이브런트 그린,
Calloatti.AutoTweaks.ColorName.0AFF02,플루로 그린,
Calloatti.AutoTweaks.ColorName.0B4008,헌터 그린,
Calloatti.AutoTweaks.ColorName.0B5509,숲,
Calloatti.AutoTweaks.ColorName.0B8B87,그린빛 블루,
Calloatti.AutoTweaks.ColorName.0BF77D,민티 그린,
Calloatti.AutoTweaks.ColorName.0BF9EA,브라이트 아쿠아,
Calloatti.AutoTweaks.ColorName.0C06F7,스트롱 블루,
Calloatti.AutoTweaks.ColorName.0C1793,로열,
Calloatti.AutoTweaks.ColorName.0CB577,그린 틸,
Calloatti.AutoTweaks.ColorName.0CDC73,틸리시 그린,
Calloatti.AutoTweaks.ColorName.0CFF0C,네온 그린,
Calloatti.AutoTweaks.ColorName.0D75F8,딥 스카이 블루,
Calloatti.AutoTweaks.ColorName.0E87CC,워터 블루,
Calloatti.AutoTweaks.ColorName.0F9B8E,블루/그린,
Calloatti.AutoTweaks.ColorName.0FFEF9,브라이트 터콰이즈,
Calloatti.AutoTweaks.ColorName.107AB0,나이스 블루,
