ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,Preto,
Calloatti.AutoTweaks.ColorName.000080,Marinho,
Calloatti.AutoTweaks.ColorName.00008B,Azul-escuro,
Calloatti.AutoTweaks.ColorName.0000CD,Azul médio,
Calloatti.AutoTweaks.ColorName.0000FF,Azul,
Calloatti.AutoTweaks.ColorName.000133,Azul muito escuro,
Calloatti.AutoTweaks.ColorName.00022E,Marinho azul escuro,
Calloatti.AutoTweaks.ColorName.00035B,Azul escuro,
Calloatti.AutoTweaks.ColorName.000435,Marinho escuro,
Calloatti.AutoTweaks.ColorName.001146,Azul marinho,
Calloatti.AutoTweaks.ColorName.002D04,Verde floresta escuro,
Calloatti.AutoTweaks.ColorName.004577,Azul prussiano,
Calloatti.AutoTweaks.ColorName.00468C,Azul madrugada,
Calloatti.AutoTweaks.ColorName.0048BA,Zero Absoluto,
Calloatti.AutoTweaks.ColorName.005249,Verde azul escuro,
Calloatti.AutoTweaks.ColorName.00555A,Turquesa profunda,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Verde escuro,
Calloatti.AutoTweaks.ColorName.0066CC,Azul marinho,
Calloatti.AutoTweaks.ColorName.0066FF,Azul (III),
Calloatti.AutoTweaks.ColorName.00755E,Floresta tropical,
Calloatti.AutoTweaks.ColorName.007DFF,Azul elétrico,
Calloatti.AutoTweaks.ColorName.008000,Verde,
Calloatti.AutoTweaks.ColorName.008080,Turquesa,
Calloatti.AutoTweaks.ColorName.0081AB,Azul aço,
Calloatti.AutoTweaks.ColorName.008B8B,Ciano escuro,
Calloatti.AutoTweaks.ColorName.009337,Verde Kelley,
Calloatti.AutoTweaks.ColorName.0095B7,Azul-verde,
Calloatti.AutoTweaks.ColorName.009DC4,Azul Pacífico,
Calloatti.AutoTweaks.ColorName.00B5FF,Azul claro,
Calloatti.AutoTweaks.ColorName.00BFFF,Céu azul profundo,
Calloatti.AutoTweaks.ColorName.00CC99,Verde caribe,
Calloatti.AutoTweaks.ColorName.00CCCC,Azul ovo de robin,
Calloatti.AutoTweaks.ColorName.00CED1,Turquesa escura,
Calloatti.AutoTweaks.ColorName.00FA9A,Verde primavera médio,
Calloatti.AutoTweaks.ColorName.00FBB0,Turquesa com verde,
Calloatti.AutoTweaks.ColorName.00FF00,Limão,
Calloatti.AutoTweaks.ColorName.00FF7F,Verde primavera,
Calloatti.AutoTweaks.ColorName.00FFBF,Turquesa,
Calloatti.AutoTweaks.ColorName.00FFFF,Ciano,
Calloatti.AutoTweaks.ColorName.010FCC,Azul verdadeiro,
Calloatti.AutoTweaks.ColorName.01153E,Marinho,
Calloatti.AutoTweaks.ColorName.01386A,Azul marinho,
Calloatti.AutoTweaks.ColorName.014182,Azul escurinho,
Calloatti.AutoTweaks.ColorName.014600,Verde corrida,
Calloatti.AutoTweaks.ColorName.014D4E,Turquesa escura,
Calloatti.AutoTweaks.ColorName.015482,Azul mar profundo,
Calloatti.AutoTweaks.ColorName.0165FC,Azul brilhante,
Calloatti.AutoTweaks.ColorName.016795,Azul pavão,
Calloatti.AutoTweaks.ColorName.017371,Aquamar escura,
Calloatti.AutoTweaks.ColorName.017374,Turquesa profunda,
Calloatti.AutoTweaks.ColorName.01786F,Árvore de pinheiro (verde),
Calloatti.AutoTweaks.ColorName.017A79,Azul-verde,
Calloatti.AutoTweaks.ColorName.017B92,Oceano,
Calloatti.AutoTweaks.ColorName.01889F,Azul turquesa,
Calloatti.AutoTweaks.ColorName.019529,Verde irlandês,
Calloatti.AutoTweaks.ColorName.01A049,Esmeralda,
Calloatti.AutoTweaks.ColorName.01B44C,Trevo,
Calloatti.AutoTweaks.ColorName.01C08D,Verde/Azul,
Calloatti.AutoTweaks.ColorName.01F9C6,Turquesa brilhante,
Calloatti.AutoTweaks.ColorName.01FF07,Verde brilhante,
Calloatti.AutoTweaks.ColorName.020035,Azul madrugada,
Calloatti.AutoTweaks.ColorName.0203E2,Azul puro,
Calloatti.AutoTweaks.ColorName.02066F,Azul real escuro,
Calloatti.AutoTweaks.ColorName.021BF9,Azul rico,
Calloatti.AutoTweaks.ColorName.02590F,Verde profundo,
Calloatti.AutoTweaks.ColorName.028F1E,Verde esmeralda,
Calloatti.AutoTweaks.ColorName.029386,Turquesa,
Calloatti.AutoTweaks.ColorName.02A4D3,Cerúleo,
Calloatti.AutoTweaks.ColorName.02AB2E,Verde Kelly,
Calloatti.AutoTweaks.ColorName.02C14D,Verde trevo,
Calloatti.AutoTweaks.ColorName.02CCFE,Céu azul brilhante,
Calloatti.AutoTweaks.ColorName.02D8E9,Água azul,
Calloatti.AutoTweaks.ColorName.03012D,Madrugada,
Calloatti.AutoTweaks.ColorName.030764,Azul-escuro,
Calloatti.AutoTweaks.ColorName.030AA7,Azul cobalto,
Calloatti.AutoTweaks.ColorName.033500,Verde escuro,
Calloatti.AutoTweaks.ColorName.0339F8,Azul vibrante,
Calloatti.AutoTweaks.ColorName.0343DF,Azul,
Calloatti.AutoTweaks.ColorName.03719C,Azul oceano,
Calloatti.AutoTweaks.ColorName.040273,Azul profundo,
Calloatti.AutoTweaks.ColorName.040348,Azul noturno,
Calloatti.AutoTweaks.ColorName.042E60,Marinho,
Calloatti.AutoTweaks.ColorName.044A05,Verde garrafa,
Calloatti.AutoTweaks.ColorName.045C5A,Turquesa escura,
Calloatti.AutoTweaks.ColorName.047495,Azul mar,
Calloatti.AutoTweaks.ColorName.048243,Verde selva,
Calloatti.AutoTweaks.ColorName.0485D1,Cerúleo,
Calloatti.AutoTweaks.ColorName.04D8B2,Aquamar,
Calloatti.AutoTweaks.ColorName.04D9FF,Azul neônio,
Calloatti.AutoTweaks.ColorName.04F489,Verde turquesa,
Calloatti.AutoTweaks.ColorName.0504AA,Azul real,
Calloatti.AutoTweaks.ColorName.05472A,Permanente,
Calloatti.AutoTweaks.ColorName.05480D,Verde corrida britânico,
Calloatti.AutoTweaks.ColorName.054907,Verde escuro,
Calloatti.AutoTweaks.ColorName.05696B,Água escura,
Calloatti.AutoTweaks.ColorName.056EEE,Azul cerúleo,
