ID,Text,Comment
Calloatti.AutoTweaks.ColorName.000000,черный,
Calloatti.AutoTweaks.ColorName.000080,Navоватый,
Calloatti.AutoTweaks.ColorName.00008B,DarkBlue,
Calloatti.AutoTweaks.ColorName.0000CD,MediumBlue,
Calloatti.AutoTweaks.ColorName.0000FF,синий,
Calloatti.AutoTweaks.ColorName.000133,Verоватый тёмный синий,
Calloatti.AutoTweaks.ColorName.00022E,тёмный Navоватый синий,
Calloatti.AutoTweaks.ColorName.00035B,тёмный синий,
Calloatti.AutoTweaks.ColorName.000435,тёмный Navоватый,
Calloatti.AutoTweaks.ColorName.001146,Navоватый синий,
Calloatti.AutoTweaks.ColorName.002D04,тёмный Forest зеленый,
Calloatti.AutoTweaks.ColorName.004577,Prussian синий,
Calloatti.AutoTweaks.ColorName.00468C,Midnight синий,
Calloatti.AutoTweaks.ColorName.0048BA,Absolute Zero,
Calloatti.AutoTweaks.ColorName.005249,тёмный синий зеленый,
Calloatti.AutoTweaks.ColorName.00555A,глубокий бирюзовый,
Calloatti.AutoTweaks.ColorName.005F6A,Petrol,
Calloatti.AutoTweaks.ColorName.006400,Darkgreen,
Calloatti.AutoTweaks.ColorName.0066CC,Navоватый синий,
Calloatti.AutoTweaks.ColorName.0066FF,синий (III),
Calloatti.AutoTweaks.ColorName.00755E,Tropical Rain Forest,
Calloatti.AutoTweaks.ColorName.007DFF,ElectricBlue,
Calloatti.AutoTweaks.ColorName.008000,зеленый,
Calloatti.AutoTweaks.ColorName.008080,бирюзовый,
Calloatti.AutoTweaks.ColorName.0081AB,Steel синий,
Calloatti.AutoTweaks.ColorName.008B8B,DarkCyan,
Calloatti.AutoTweaks.ColorName.009337,Kelleоватый зеленый,
Calloatti.AutoTweaks.ColorName.0095B7,Blue-Green,
Calloatti.AutoTweaks.ColorName.009DC4,Pacific синий,
Calloatti.AutoTweaks.ColorName.00B5FF,Azure,
Calloatti.AutoTweaks.ColorName.00BFFF,DeepSkyBlue,
Calloatti.AutoTweaks.ColorName.00CC99,Caribbean зеленый,
Calloatti.AutoTweaks.ColorName.00CCCC,Robin'S Egg синий,
Calloatti.AutoTweaks.ColorName.00CED1,DarkTurquoise,
Calloatti.AutoTweaks.ColorName.00FA9A,MediumSpringGreen,
Calloatti.AutoTweaks.ColorName.00FBB0,зеленыйоватый бирюзовый,
Calloatti.AutoTweaks.ColorName.00FF00,лимонный,
Calloatti.AutoTweaks.ColorName.00FF7F,SpringGreen,
Calloatti.AutoTweaks.ColorName.00FFBF,бирюзовый,
Calloatti.AutoTweaks.ColorName.00FFFF,циан,
Calloatti.AutoTweaks.ColorName.010FCC,True синий,
Calloatti.AutoTweaks.ColorName.01153E,Navоватый,
Calloatti.AutoTweaks.ColorName.01386A,Marine синий,
Calloatti.AutoTweaks.ColorName.014182,тёмныйоватый синий,
Calloatti.AutoTweaks.ColorName.014600,Racing зеленый,
Calloatti.AutoTweaks.ColorName.014D4E,тёмный бирюзовый,
Calloatti.AutoTweaks.ColorName.015482,глубокий Sea синий,
Calloatti.AutoTweaks.ColorName.0165FC,яркий синий,
Calloatti.AutoTweaks.ColorName.016795,Peacock синий,
Calloatti.AutoTweaks.ColorName.017371,тёмный Aquamarine,
Calloatti.AutoTweaks.ColorName.017374,глубокий бирюзовый,
Calloatti.AutoTweaks.ColorName.01786F,Pine Tree (Pine Green),
Calloatti.AutoTweaks.ColorName.017A79,Bluegreen,
Calloatti.AutoTweaks.ColorName.017B92,Ocean,
Calloatti.AutoTweaks.ColorName.01889F,бирюзовый синий,
Calloatti.AutoTweaks.ColorName.019529,Irоватый зеленый,
Calloatti.AutoTweaks.ColorName.01A049,Emerald,
Calloatti.AutoTweaks.ColorName.01B44C,Shamrock,
Calloatti.AutoTweaks.ColorName.01C08D,Green/Blue,
Calloatti.AutoTweaks.ColorName.01F9C6,яркий бирюзовый,
Calloatti.AutoTweaks.ColorName.01FF07,яркий зеленый,
Calloatti.AutoTweaks.ColorName.020035,Midnight синий,
Calloatti.AutoTweaks.ColorName.0203E2,Pure синий,
Calloatti.AutoTweaks.ColorName.02066F,тёмный Royal синий,
Calloatti.AutoTweaks.ColorName.021BF9,насыщенный синий,
Calloatti.AutoTweaks.ColorName.02590F,глубокий зеленый,
Calloatti.AutoTweaks.ColorName.028F1E,Emerald зеленый,
Calloatti.AutoTweaks.ColorName.029386,бирюзовый,
Calloatti.AutoTweaks.ColorName.02A4D3,Cerulean,
Calloatti.AutoTweaks.ColorName.02AB2E,Kellоватый зеленый,
Calloatti.AutoTweaks.ColorName.02C14D,Shamrock зеленый,
Calloatti.AutoTweaks.ColorName.02CCFE,яркий Sky синий,
Calloatti.AutoTweaks.ColorName.02D8E9,аква синий,
Calloatti.AutoTweaks.ColorName.03012D,Midnight,
Calloatti.AutoTweaks.ColorName.030764,DarkBlue,
Calloatti.AutoTweaks.ColorName.030AA7,Cobalt синий,
Calloatti.AutoTweaks.ColorName.033500,тёмный зеленый,
Calloatti.AutoTweaks.ColorName.0339F8,яркий синий,
Calloatti.AutoTweaks.ColorName.0343DF,синий,
Calloatti.AutoTweaks.ColorName.03719C,Ocean синий,
Calloatti.AutoTweaks.ColorName.040273,глубокий синий,
Calloatti.AutoTweaks.ColorName.040348,Night синий,
Calloatti.AutoTweaks.ColorName.042E60,Marine,
Calloatti.AutoTweaks.ColorName.044A05,Bottle зеленый,
Calloatti.AutoTweaks.ColorName.045C5A,тёмный бирюзовый,
Calloatti.AutoTweaks.ColorName.047495,Sea синий,
Calloatti.AutoTweaks.ColorName.048243,Jungle зеленый,
Calloatti.AutoTweaks.ColorName.0485D1,Cerulean,
Calloatti.AutoTweaks.ColorName.04D8B2,Aquamarine,
Calloatti.AutoTweaks.ColorName.04D9FF,неоновый синий,
Calloatti.AutoTweaks.ColorName.04F489,бирюзовый зеленый,
Calloatti.AutoTweaks.ColorName.0504AA,Royal синий,
Calloatti.AutoTweaks.ColorName.05472A,Evergreen,
